layer,feature_set,target,target_label,scope,auc,auc_lo,auc_hi,n,n_games
9,router_topk_weight,literal_J_choice,literal J/P choice control,pure,0.7866629853522437,0.7487224612804917,0.8223858073270525,525,144
9,router_topk_weight,stimulus_control,strategically inert payoff control,all,0.44328703703703703,0.38442789540288574,0.5015133156653339,576,144
9,router_topk_binary,incentive_sign_q05,objective incentive sign,all,0.5614519032921811,0.5088799400793848,0.6178103317328887,576,144
9,router_topk_binary,pure_canonical_choice,pure final-channel canonical choice,pure,0.25915919161353074,0.18739378112974034,0.3348857327140632,525,144
9,router_topk_binary,realized_canonical_choice,realized canonical choice incl mixed,all,0.5247650146484375,0.4217289509144864,0.638370123357942,576,144
9,router_topk_binary,literal_J_choice,literal J/P choice control,pure,0.5907056498488724,0.5477689767083003,0.6361870526432089,525,144
9,router_topk_binary,stimulus_control,strategically inert payoff control,all,0.4509669174382716,0.39197329381254314,0.5077767129381382,576,144
9,residual,incentive_sign_q05,objective incentive sign,all,0.8399562757201647,0.7924588179782962,0.8837805599633471,576,144
9,residual,pure_canonical_choice,pure final-channel canonical choice,pure,0.6201772398141142,0.5127968153272251,0.7057375498324634,525,144
9,residual,realized_canonical_choice,realized canonical choice incl mixed,all,0.748687744140625,0.6840131217723191,0.8132484796199849,576,144
9,residual,literal_J_choice,literal J/P choice control,pure,0.9923854917461056,0.9803919478239055,1.0,525,144
9,residual,stimulus_control,strategically inert payoff control,all,0.5275728202160495,0.47891327459058436,0.5798957581852041,576,144
12,router_gate,incentive_sign_q05,objective incentive sign,all,0.8724665637860082,0.8296337724356444,0.9110171677847636,576,144
12,router_gate,pure_canonical_choice,pure final-channel canonical choice,pure,0.6666486544904355,0.5672881682125314,0.7468165845771917,525,144
12,router_gate,realized_canonical_choice,realized canonical choice incl mixed,all,0.72479248046875,0.6513453731422556,0.8019724982784809,576,144
12,router_gate,literal_J_choice,literal J/P choice control,pure,0.9902202976052081,0.979046790759864,0.9971180583406861,525,144
12,router_gate,stimulus_control,strategically inert payoff control,all,0.5618851273148148,0.516702188422859,0.6083866825810185,576,144
12,router_topk_weight,incentive_sign_q05,objective incentive sign,all,0.6734567901234568,0.6157220778619895,0.737025850133526,576,144
12,router_topk_weight,pure_canonical_choice,pure final-channel canonical choice,pure,0.5694369393710148,0.46509543124702957,0.6678178204848221,525,144
