layer,feature_set,target,target_label,scope,auc,auc_lo,auc_hi,n,n_games
24,router_topk_binary,realized_canonical_choice,realized canonical choice incl mixed,all,0.6216583251953125,0.5185990466023205,0.722863513773911,576,144
24,router_topk_binary,literal_J_choice,literal J/P choice control,pure,0.5642147175075564,0.5187351042954355,0.6104911172437212,525,144
24,router_topk_binary,stimulus_control,strategically inert payoff control,all,0.4451859085648148,0.3772396230618403,0.5115919315543203,576,144
24,residual,incentive_sign_q05,objective incentive sign,all,0.8977880658436215,0.8589094951277922,0.9359032295938942,576,144
24,residual,pure_canonical_choice,pure final-channel canonical choice,pure,0.7693720955365828,0.6950802754527865,0.834594494763232,525,144
24,residual,realized_canonical_choice,realized canonical choice incl mixed,all,0.816375732421875,0.7688002788400135,0.8656889244869035,576,144
24,residual,literal_J_choice,literal J/P choice control,pure,1.0,0.9999999999999999,1.0,525,144
24,residual,stimulus_control,strategically inert payoff control,all,0.7160614390432097,0.6667737488028626,0.7655201252996743,576,144
27,router_gate,incentive_sign_q05,objective incentive sign,all,0.8135673868312756,0.7646910578747627,0.8622656128570565,576,144
27,router_gate,pure_canonical_choice,pure final-channel canonical choice,pure,0.6461147735869447,0.5515915206695771,0.7274014332922697,525,144
27,router_gate,realized_canonical_choice,realized canonical choice incl mixed,all,0.742950439453125,0.6799185994963225,0.8051582801389786,576,144
27,router_gate,literal_J_choice,literal J/P choice control,pure,1.0,0.9999999999999999,1.0,525,144
27,router_gate,stimulus_control,strategically inert payoff control,all,0.6686197916666666,0.6240661458346053,0.7109951952151294,576,144
27,router_topk_weight,incentive_sign_q05,objective incentive sign,all,0.5894290123456789,0.5376198308270677,0.6437665433973354,576,144
27,router_topk_weight,pure_canonical_choice,pure final-channel canonical choice,pure,0.46973954393169787,0.3694298050075661,0.5816780748795551,525,144
27,router_topk_weight,realized_canonical_choice,realized canonical choice incl mixed,all,0.714813232421875,0.6414638958551054,0.7916552516392298,576,144
27,router_topk_weight,literal_J_choice,literal J/P choice control,pure,0.88947337828412,0.8576083239213188,0.9192657889656842,525,144
27,router_topk_weight,stimulus_control,strategically inert payoff control,all,0.41183207947530864,0.3449955571515953,0.4788596033957362,576,144
27,router_topk_binary,incentive_sign_q05,objective incentive sign,all,0.5331082818930042,0.4694370799578078,0.594665623417607,576,144
27,router_topk_binary,pure_canonical_choice,pure final-channel canonical choice,pure,0.38998162758024424,0.2881980156034102,0.4951445229469847,525,144
27,router_topk_binary,realized_canonical_choice,realized canonical choice incl mixed,all,0.687652587890625,0.6147883384284418,0.7671664536724927,576,144
27,router_topk_binary,literal_J_choice,literal J/P choice control,pure,0.6894980818414322,0.6444567543456364,0.7328868366948943,525,144
27,router_topk_binary,stimulus_control,strategically inert payoff control,all,0.4138997395833333,0.346683267451167,0.48080733345133997,576,144
27,residual,incentive_sign_q05,objective incentive sign,all,0.9058641975308642,0.8657274350364349,0.9424758452172294,576,144
27,residual,pure_canonical_choice,pure final-channel canonical choice,pure,0.6758889008970064,0.5631932995302827,0.7696783701789999,525,144
27,residual,realized_canonical_choice,realized canonical choice incl mixed,all,0.7987060546875,0.7364764773053163,0.8570712223248415,576,144
27,residual,literal_J_choice,literal J/P choice control,pure,1.0,0.9999999999999999,1.0,525,144
27,residual,stimulus_control,strategically inert payoff control,all,0.6610604745370371,0.6104291726307628,0.7084179814494026,576,144
30,router_gate,incentive_sign_q05,objective incentive sign,all,0.8365354938271605,0.7881380642489343,0.8828701119247881,576,144
30,router_gate,pure_canonical_choice,pure final-channel canonical choice,pure,0.6469253215173458,0.5761867926973248,0.7138071984996603,525,144
30,router_gate,realized_canonical_choice,realized canonical choice incl mixed,all,0.74127197265625,0.6713844968829792,0.809436031135851,576,144
30,router_gate,literal_J_choice,literal J/P choice control,pure,1.0,0.9999999999999999,1.0,525,144
30,router_gate,stimulus_control,strategically inert payoff control,all,0.5874083719135803,0.5342676424571805,0.6349144226536805,576,144
30,router_topk_weight,incentive_sign_q05,objective incentive sign,all,0.5730066872427984,0.5175004133597885,0.6278854295580641,576,144
30,router_topk_weight,pure_canonical_choice,pure final-channel canonical choice,pure,0.4470442018804712,0.33666175313065977,0.5542353726662815,525,144
