model,layer,depth_frac,auc,lo,hi,auc_gain_over_embedding,row_scope,n_obs,n_games
llama31_instruct,27,0.3375,0.6079186228482003,0.5462024305479104,0.6686615923118945,0.18954616588419404,parsed_generated_choice,576,144
llama31_instruct,28,0.35,0.6453364632237871,0.5821087607721793,0.7065672298766558,0.22696400625978086,parsed_generated_choice,576,144
llama31_instruct,29,0.3625,0.6518309859154929,0.5938834484410359,0.7127471057230232,0.23345852895148667,parsed_generated_choice,576,144
llama31_instruct,30,0.375,0.6786071987480438,0.6188397406020633,0.7382015136309477,0.2602347417840375,parsed_generated_choice,576,144
llama31_instruct,31,0.3875,0.6808294209702661,0.6247457859405143,0.737566891622155,0.26245696400625984,parsed_generated_choice,576,144
llama31_instruct,32,0.4,0.7973552425665101,0.750665667508264,0.8452400026200839,0.37898278560250387,parsed_generated_choice,576,144
llama31_instruct,33,0.4125,0.7847261345852895,0.7371962468211769,0.8318501468208785,0.36635367762128324,parsed_generated_choice,576,144
llama31_instruct,34,0.425,0.8182629107981221,0.7742914042414837,0.85992993356524,0.3998904538341158,parsed_generated_choice,576,144
llama31_instruct,35,0.4375,0.8318622848200313,0.7879904041244364,0.8710995842491315,0.41348982785602506,parsed_generated_choice,576,144
llama31_instruct,36,0.45,0.8208450704225351,0.7770798346344712,0.8606605544950288,0.4024726134585288,parsed_generated_choice,576,144
llama31_instruct,37,0.4625,0.8160719874804381,0.7737452730902774,0.8592015940639794,0.3976995305164318,parsed_generated_choice,576,144
llama31_instruct,38,0.475,0.8135367762128326,0.7679536035096085,0.8566596817389388,0.39516431924882633,parsed_generated_choice,576,144
llama31_instruct,39,0.4875,0.8287480438184663,0.7861101861906928,0.8703579796640949,0.4103755868544601,parsed_generated_choice,576,144
llama31_instruct,40,0.5,0.8330203442879498,0.7891347321878757,0.8745639975737465,0.41464788732394353,parsed_generated_choice,576,144
llama31_instruct,41,0.5125,0.8269170579029734,0.7806047946289916,0.8699912435906696,0.40854460093896716,parsed_generated_choice,576,144
llama31_instruct,42,0.525,0.828982785602504,0.7829118819745643,0.8714849579281224,0.4106103286384978,parsed_generated_choice,576,144
llama31_instruct,43,0.5375,0.8235680751173708,0.7784393119604754,0.8647521228088927,0.4051956181533646,parsed_generated_choice,576,144
llama31_instruct,44,0.55,0.827715179968701,0.7833693293130825,0.8676095720044601,0.40934272300469476,parsed_generated_choice,576,144
llama31_instruct,45,0.5625,0.8327073552425666,0.7868374808385606,0.8728811147421638,0.4143348982785603,parsed_generated_choice,576,144
llama31_instruct,46,0.575,0.8340375586854459,0.7877213079588461,0.8752105008622623,0.41566510172143967,parsed_generated_choice,576,144
llama31_instruct,47,0.5875,0.8409076682316119,0.7965008028516016,0.8793302236313386,0.4225352112676056,parsed_generated_choice,576,144
llama31_instruct,48,0.6,0.8353521126760562,0.7906211629863495,0.8763752392706726,0.41697965571205,parsed_generated_choice,576,144
llama31_instruct,49,0.6125,0.8350391236306729,0.7894394341491853,0.8752423463389593,0.41666666666666663,parsed_generated_choice,576,144
llama31_instruct,50,0.625,0.8355712050078246,0.7907215732932362,0.8759247215734087,0.4171987480438183,parsed_generated_choice,576,144
llama31_instruct,51,0.6375,0.8377464788732394,0.7959400652687069,0.8763707245135818,0.4193740219092331,parsed_generated_choice,576,144
llama31_instruct,52,0.65,0.8387010954616589,0.7956911291231302,0.8785367239315638,0.4203286384976527,parsed_generated_choice,576,144
llama31_instruct,53,0.6625,0.8408763693270734,0.7970132102292806,0.8800403365151216,0.42250391236306717,parsed_generated_choice,576,144
llama31_instruct,54,0.675,0.83679186228482,0.7936555700562161,0.8757866641100656,0.4184194053208138,parsed_generated_choice,576,144
llama31_instruct,55,0.6875,0.8364632237871675,0.7935100239122449,0.876084251341846,0.41809076682316126,parsed_generated_choice,576,144
llama31_instruct,56,0.7,0.8404381846635368,0.7980187450790381,0.8791858135299575,0.42206572769953055,parsed_generated_choice,576,144
llama31_instruct,57,0.7125,0.8351799687010955,0.7920323790553385,0.8746991435657068,0.4168075117370892,parsed_generated_choice,576,144
llama31_instruct,58,0.725,0.8343192488262912,0.7902455703828699,0.8741984272925724,0.4159467918622849,parsed_generated_choice,576,144
llama31_instruct,59,0.7375,0.8396244131455399,0.7957235014163992,0.8778884227605576,0.42125195618153366,parsed_generated_choice,576,144
llama31_instruct,60,0.75,0.8412989045383412,0.79971668281731,0.8792073393994746,0.42292644757433495,parsed_generated_choice,576,144
llama31_instruct,61,0.7625,0.8350234741784037,0.794587071273034,0.8742470841461696,0.41665101721439746,parsed_generated_choice,576,144
llama31_instruct,62,0.775,0.831189358372457,0.7882316877905645,0.8720477101722386,0.41281690140845073,parsed_generated_choice,576,144
llama31_instruct,63,0.7875,0.8266353677621282,0.7818220062495095,0.8670268441349047,0.40826291079812194,parsed_generated_choice,576,144
