layer,feature_set,target,scope,objective_baseline_auc,objective_baseline_auc_lo,objective_baseline_auc_hi,augmented_auc,augmented_auc_lo,augmented_auc_hi,logloss_improvement,logloss_improvement_lo,logloss_improvement_hi,objective_baseline_logloss,augmented_logloss,n,n_games
33,router_gate,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.6635145358262186,0.5697446063699287,0.7596943949867336,-0.06754780257280812,-0.1248008622368988,-0.021526826767804073,0.24037625143514008,0.3079240540079482,525,144
33,router_topk_weight,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.7110126445477143,0.5959868982020741,0.8150762573419025,-0.010817431241709752,-0.028803297728442374,0.005437850036436873,0.24037625143514008,0.2511936826768498,525,144
33,router_topk_binary,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.698124932454339,0.5898287160944157,0.7952107053257852,-0.01369322306639248,-0.030640368581102438,0.0024244657823379546,0.24037625143514008,0.25406947450153256,525,144
33,residual,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.7049065168053603,0.6310226462491324,0.7802693427715341,-0.27528874817260773,-0.42648685703509803,-0.13700790183874306,0.24037625143514008,0.5156649996077478,525,144
35,router_gate,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.6678914946503837,0.5745835957593406,0.7638234900815164,-0.04919415383407616,-0.09093733925377194,-0.012197964068547673,0.24037625143514008,0.28957040526921624,525,144
35,router_topk_weight,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.7234950826758889,0.607096821409685,0.8299927100858412,-0.00012878756620507414,-0.01511787787321513,0.014332541249507507,0.24037625143514008,0.24050503900134515,525,144
35,router_topk_binary,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.7246568680427969,0.6101634210150363,0.8323166290517244,2.278583400969203e-05,-0.013896113665460341,0.013498795593376661,0.24037625143514008,0.24035346560113038,525,144
35,residual,pure_canonical_choice,pure,0.7127958499945962,0.6126489834149352,0.8049398287291171,0.6763211931265536,0.5910178596299623,0.7546163728878805,-0.31169127633817706,-0.48126024072726087,-0.16018618899871553,0.24037625143514008,0.5520675277733171,525,144
1,router_gate,realized_canonical_choice,all,0.6945648193359375,0.6179986962566667,0.7699165197153329,0.823760986328125,0.7637999553477716,0.882477215604022,0.02256861440020269,-0.01586180479527267,0.061634750626582205,0.3169632981403417,0.294394683740139,576,144
1,router_topk_weight,realized_canonical_choice,all,0.6945648193359375,0.6179986962566667,0.7699165197153329,0.804534912109375,0.7417175723497019,0.8660559223797585,0.02107612945137699,-0.005643438758848437,0.04616839432202285,0.3169632981403417,0.2958871686889647,576,144
