game_code,gate_margin,topk_binary_margin,topk_weight_margin,residual_margin,gate_minus_topk_margin,median_n_new_tokens,mixed_rate,pure_canonical_rate,abs_delta1c_q05,complexity_score,dominance_profile,num_pure_ne,log_median_n_new_tokens
ChAs,-0.004120202561696554,0.10567981746889443,0.12652255218510666,-0.028604201364375248,-0.10980002003059099,1232.5,0.75,1.0,0.0,0.3368858560744445,2,0,7.117610935969411
ChBa,-0.03270112465086843,-0.0046946269464752804,0.01063245336399464,0.043602133512052416,-0.028006497704393146,899.5,0.25,0.3333333333333333,0.0,0.1562542305420579,2,2,6.802950164616011
ChCh,0.3398840241056921,-0.1076186143332159,-0.11304600550135777,0.4948109110549521,0.4475026384389079,572.0,0.0,1.0,0.0,0.2428567709205017,2,2,6.35088571671474
ChCm,0.3471131274798589,-0.06587104576683478,-0.085104068981111,0.38018420046095036,0.4129841732466937,637.0,0.0,1.0,0.0,0.6253645925749319,1,1,6.45833828334479
ChCo,-0.13368749337915145,-0.047910181687154635,-0.0457310824804846,0.13919446937307167,-0.08577731169199683,1043.5,0.5,0.5,0.0,0.1059457483985941,2,0,6.95129358099662
ChDl,0.2683572059940466,-0.07890093339312781,-0.10574470047939385,0.46439442311218204,0.3472581393871744,414.0,0.0,1.0,0.0,0.7408346464128569,1,1,6.028278520230698
ChHa,0.14632981256360927,-0.04631328883958974,-0.04115595334216987,0.011621747833126903,0.192643101403199,453.0,0.25,0.6666666666666666,0.0,-0.1829257842905442,1,1,6.118097198041348
ChHr,-0.037030371888571875,-0.16282188947804926,-0.12750255880204772,0.10711133954038553,0.12579151758947738,558.0,0.0,0.0,0.0,0.3294593112989456,2,2,6.326149473155099
ChNc,0.21715051519173273,-0.1750787594125821,-0.18377596380872646,0.4550272262897214,0.39222927460431484,365.5,0.0,0.25,0.0,0.048014323385306,1,1,5.903998521326706
ChPc,-0.0520920819448316,-0.12837813859741862,-0.15026219514363165,0.1883635178012064,0.07628605665258703,1068.0,0.0,1.0,0.0,-0.0674557304526191,1,1,6.974478911025045
ChPd,0.11858593303346154,-0.05672069609163244,-0.08390933852196256,0.3846244504062101,0.17530662912509398,305.5,0.0,1.0,0.0,0.5098945387370066,1,1,5.725217755376266
ChSh,0.3655404383196792,0.008160985636809101,0.015853554306690415,0.25335991362228966,0.3573794526828701,946.5,0.25,1.0,0.0,0.2214158022365192,2,0,6.853826936956581
CmAs,0.4643327009613234,0.1656702308893663,0.18068029502148583,0.4998990088479943,0.2986624700719571,221.5,0.0,1.0,2.0,0.2694301256218253,1,1,5.404927101606295
CmBa,0.4131273324529794,0.1493630216880245,0.16298271563673622,0.49666967641234133,0.2637643107649549,333.0,0.0,1.0,2.0,-0.1924500897298753,1,1,5.811140992976701
CmCh,0.38924350857438894,0.14702418474339246,0.17477501203897305,0.43117000407699435,0.24221932383099648,406.0,0.0,1.0,2.0,0.1539600717839002,1,1,6.008813185442595
CmCm,0.38258764687878777,0.13590144590449948,0.14383770058990542,0.49739116441097886,0.24668620097428826,308.5,0.0,1.0,2.0,-0.3079201435678004,0,1,5.734958092124651
CmCo,0.45340982036061295,0.19948672601604656,0.2078390085835641,0.49574390135673585,0.2539230943445664,296.0,0.0,1.0,2.0,0.0384900179459749,1,1,5.6937321388027
CmDl,0.4165797381822246,0.18422910908778445,0.19895141033201727,0.4999216058991579,0.23235062909444015,239.0,0.0,1.0,2.0,0.0384900179459749,0,1,5.480638923341991
CmHa,0.4521471642928371,0.1648735566244371,0.1837162872528137,0.49920345583408726,0.28727360766839993,236.5,0.0,1.0,2.0,0.0384900179459749,0,1,5.470167623474696
CmHr,0.4651037106181147,0.17668513338763175,0.20935333172156356,0.49411046590751057,0.2884185772304829,292.5,0.0,1.0,2.0,-0.4233901974057255,1,1,5.681877639268151
CmNc,0.4621763237796524,0.2050843655421689,0.23760052243557167,0.4974018875870609,0.2570919582374835,225.0,0.0,1.0,2.0,0.2694301256218253,0,1,5.420534999272286
CmPc,0.4681112869610241,0.24878881821029883,0.25310601917769227,0.4982743168686049,0.2193224687507253,243.0,0.0,1.0,2.0,-0.0769800358919501,0,1,5.497168225293202
CmPd,0.40402300457444673,0.20748222983270895,0.2339678386400443,0.4965298013511933,0.19654077474173776,229.0,0.0,1.0,2.0,0.2694301256218253,0,1,5.438079308923196
CmSh,0.2630778645980396,0.0801664574461313,0.09370422182415886,0.4857282830910762,0.1829114071519083,503.5,0.0,1.0,2.0,0.3849001794597504,1,1,6.223567839793664
