game_id,p_id_x,p_id_y,is_symmetric,canonical_x,canonical_y,bruns_name_x,bruns_name_y,bruns_long_name_x,bruns_long_name_y,canonical_p1_x,canonical_p2_x,canonical_p1_y,canonical_p2_y,nash_count,dominance_level,canon_l1_p1,canon_l1_p2,nagel_perspective_x,nagel_perspective_y,lk_type_x,lk_type_y,emp_class_x,emp_class_y,rgg_class_x,rgg_class_y,frac_choose_A_x,frac_choose_A_y,nagel_p1,nagel_p2,entropy_binary_x,entropy_binary_y,clean_grif_n,clean_grif_p1_mean,clean_grif_p2_mean,clean_grif_p1_std,clean_grif_p2_std,clean_grif_game_ids,nagel_grif_gap
41,41,115,False,48,136,CmSh,ShCm,,BigBully,"2,1,3,4","3,4,2,1","1,4,2,3","4,1,3,2",1,1,1,-1,P41,P115,OD1,OD1,A1,A1,O3,O3,0.824833703,0.246119734,0.1751662969999999,0.246119734,0.6694,0.8051,0,,,,,,
42,42,116,False,47,124,CmPd,PdCm,,Misery,"2,1,3,4","4,3,2,1","1,3,2,4","4,1,3,2",1,1,1,0,P42,P116,DD,DD,A1,A1,D2,D2,0.840354767,0.880266075,0.159645233,0.119733925,0.6335,0.5286,5,0.2657430340557275,0.09271895145533594,0.09826697445702542,0.049145321569799526,85;117;111;163;293,0.10948311369558154
43,43,43,True,105,105,NcNc,NcNc,Concord,Concord,"2,4,1,3","3,4,1,2","2,4,1,3","3,4,1,2",1,1,0,1,P43,P43,DD,DD,A1,A1,D1,D1,0.849223947,0.849223947,0.849223947,0.849223947,0.6118,0.6118,3,0.8925925925925927,0.9393939393939394,0.09318330092895646,0.05248638810814775,173;270;487,0.10005731831734749
44,44,117,False,108,141,NcSh,ShNc,Anticipation,,"2,4,1,3","3,4,2,1","1,4,2,3","3,4,1,2",1,1,0,-1,P44,P117,OD2,OD2,A2,A2,O4,O4,0.889135255,0.55210643,0.889135255,0.55210643,0.5025,0.9922,0,,,,,,
45,45,118,False,97,9,NcAs,AsNc,Mutualism,,"2,4,1,3","2,4,3,1","1,4,3,2","3,4,1,2",1,1,0,-1,P45,P118,OD2,OD2,A2,A2,O4,O4,0.922394678,0.494456763,0.922394678,0.494456763,0.3937,0.9999,0,,,,,,
46,46,119,False,101,57,NcCo,CoNc,Concord-Coordination,,"2,4,1,3","1,4,3,2","2,4,3,1","3,4,1,2",1,1,0,1,P46,P119,OD1,OD1,A1,A1,O4,O4,0.909090909,0.858093126,0.909090909,0.858093126,0.4395,0.5892,16,0.8729322682799783,0.8881487224060554,0.07029506410487121,0.052015883020033224,55;446;634;669;695;824;888;927;25;168;262;273;584;681;683;723,0.04701899801190262
47,47,120,False,99,33,NcCh,ChNc,Hegemony,,"2,4,1,3","4,3,1,2","2,3,1,4","3,4,1,2",1,1,0,-1,P47,P120,OD2,OD2,A2,A2,O1,O1,0.793791574,0.321507761,0.793791574,0.678492239,0.7342,0.906,0,,,,,,
48,48,121,False,107,129,NcPd,PdNc,HegemonType,,"2,4,1,3","4,3,2,1","1,3,2,4","3,4,1,2",1,1,0,0,P48,P121,DD,DD,A1,A1,D3,D3,0.88248337,0.747228381,0.88248337,0.252771619,0.5222,0.8156,6,0.8995567532152897,0.2762534291690302,0.030779908138137517,0.09869841548991753,290;509;520;138;154;199,0.029032668207219704
49,49,122,False,128,95,PdHr,HrPd,DilemmaHero,,"1,3,2,4","4,1,2,3","3,1,2,4","4,3,2,1",1,1,1,0,P49,P122,OD2,OD2,A2,A2,O2,O2,0.924611973,0.66962306,0.075388027,0.3303769399999999,0.3857,0.9153,12,0.2072309941270337,0.3924581361967485,0.09892689189923039,0.1278380953419234,1;101;432;469;658;839;186;412;430;449;465;589,0.14572797570157653
50,50,123,False,122,23,PdBa,BaPd,Patron,,"1,3,2,4","4,2,1,3","3,2,1,4","4,3,2,1",1,1,1,-1,P50,P123,OD1,OD1,A1,A1,O2,O2,0.842572062,0.22616408,0.157427938,0.77383592,0.6281,0.7713,0,,,,,,
