game_id,unique_id_rowplayer,topology_raw,cardinal_p1_rowplayer,cardinal_p2_rowplayer,ordinal_p1_rowplayer,ordinal_p2_rowplayer,up_choice_rowplayer,up_choice_canonical_rowplayer,canonical_id_rowplayer,swap_sr_rowplayer,swap_sc_rowplayer,unique_id_colplayer,up_choice_colplayer,up_choice_canonical_colplayer,canonical_id_colplayer,swap_sr_colplayer,swap_sc_colplayer,bruns_name_rowplayer_side,nash_count,dominance_level,is_symmetric,bruns_name_colplayer_side,nagel_p_id,nagel_p_paired,nagel_perspective,nagel_lk_type,nagel_emp_class,nagel_rgg_class,nagel_frac_choose_A,nagel_frac_choose_act0_canonical,nagel_entropy_binary
160,319,"('dilemma', 'deadlock')","10,3,11,5","3,23,2,19","3,1,4,2","2,4,1,3",0.3243243243243243,0.3243243243243243,126.0,False,True,320,0.1351351351351351,0.1351351351351351,71.0,False,True,PdDl,1,1,False,DlPd,99,23,P99,DD,A1,D2,0.815964523,0.184035477,0.6888
163,325,"('dilemma', 'compromise')","12,7,39,8","1,15,10,14","3,1,4,2","1,4,2,3",0.1363636363636363,0.1363636363636363,124.0,False,True,326,0.2352941176470588,0.2352941176470588,47.0,False,True,PdCm,1,1,False,CmPd,116,42,P116,DD,A1,D2,0.880266075,0.119733925,0.5286
165,329,"('dilemma', 'deadlock')","19,1,45,11","17,34,2,20","3,1,4,2","2,4,1,3",0.2941176470588235,0.2941176470588235,126.0,False,True,330,0.2972972972972973,0.2972972972972973,71.0,False,True,PdDl,1,1,False,DlPd,99,23,P99,DD,A1,D2,0.815964523,0.184035477,0.6888
166,331,"('compromise', 'peace')","3,8,37,11","41,2,28,24","1,2,4,3","4,1,3,2",0.0588235294117647,0.0588235294117647,46.0,False,True,332,1.0,1.0,112.0,False,True,CmPc,1,1,False,PcCm,31,106,P31,DD,A1,D3,0.911308204,0.0886917959999999,0.4321
168,335,"('safecoord', 'concord')","31,6,2,7","24,17,11,7","4,2,1,3","4,3,2,1",0.8636363636363636,0.8636363636363636,57.0,False,True,336,0.7714285714285715,0.7714285714285715,101.0,False,True,CoNc,1,2,False,NcCo,119,46,P119,OD1,A1,O4,0.858093126,0.858093126,0.5892
171,341,"('dilemma', 'dilemma')","22,1,38,13","3,20,1,2","3,1,4,2","3,4,1,2",0.1351351351351351,0.1351351351351351,131.0,False,True,342,0.3611111111111111,0.3611111111111111,131.0,False,True,PdPd,1,1,True,PdPd,57,57,P57,DD,B1,D2,0.678492239,0.321507761,0.906
172,343,"('hero', 'harmony')","5,8,44,7","36,9,18,2","1,3,4,2","4,2,3,1",0.16,0.16,91.0,False,True,344,0.7857142857142857,0.7857142857142857,80.0,False,True,HrHa,1,2,False,HaHr,95,18,P95,OD1,A1,O1,0.838137472,0.161862528,0.6387
173,345,"('concord', 'concord')","31,4,25,3","37,24,17,1","4,2,3,1","4,3,2,1",0.8333333333333334,0.8333333333333334,105.0,False,True,346,0.9090909090909092,0.9090909090909092,105.0,False,True,NcNc,1,1,True,NcNc,43,43,P43,DD,A1,D1,0.849223947,0.849223947,0.6118
178,355,"('deadlock', 'safecoord')","23,7,29,27","15,1,6,14","2,1,4,3","4,1,2,3",0.2195121951219512,0.2195121951219512,65.0,False,True,356,0.7105263157894737,0.7105263157894737,54.0,False,True,DlCo,1,1,False,CoDl,14,91,P14,OD2,A2,O3,0.924611973,0.075388027,0.3857
179,357,"('hero', 'concord')","1,10,20,8","20,12,4,3","1,3,4,2","4,3,2,1",0.358974359,0.358974359,93.0,False,True,358,0.6585365853658537,0.6585365853658537,104.0,False,True,HrNc,1,2,False,NcHr,127,54,P127,OD1,B1,O1,0.707317073,0.292682927,0.8722
