game_id,p_id_x,p_id_y,is_symmetric,canonical_x,canonical_y,bruns_name_x,bruns_name_y,bruns_long_name_x,bruns_long_name_y,canonical_p1_x,canonical_p2_x,canonical_p1_y,canonical_p2_y,nash_count,dominance_level,canon_l1_p1,canon_l1_p2,nagel_perspective_x,nagel_perspective_y,lk_type_x,lk_type_y,emp_class_x,emp_class_y,rgg_class_x,rgg_class_y,frac_choose_A_x,frac_choose_A_y,nagel_p1,nagel_p2,entropy_binary_x,entropy_binary_y,clean_grif_n,clean_grif_p1_mean,clean_grif_p2_mean,clean_grif_p1_std,clean_grif_p2_std,clean_grif_game_ids,nagel_grif_gap,game_code_x,canonical_action_p1_x,complexity_score_x,num_pure_ne_x,iesds_depth_x,dominance_profile_x,nagel_pcanon_x,nagel_pcanon_y,grif_rank_clean,payoff_scale_llm,payoff_scale_mgn,payoff_scale_griffiths
43,43,43,True,105,105,NcNc,NcNc,Concord,Concord,"2,4,1,3","3,4,1,2","2,4,1,3","3,4,1,2",1,1,0,1,P43,P43,DD,DD,A1,A1,D1,D1,0.849223947,0.849223947,0.849223947,0.849223947,0.6118,0.6118,3,0.8925925925925927,0.9393939393939394,0.0931833009289564,0.0524863881081477,173;270;487,0.1000573183173474,NcNc,0,-0.6543303050815759,1,1,0,0.849223947,0.849223947,True,rank_1to4_pm1,rank_1to4,cardinal
44,44,117,False,108,141,NcSh,ShNc,Anticipation,,"2,4,1,3","3,4,2,1","1,4,2,3","3,4,1,2",1,1,0,-1,P44,P117,OD2,OD2,A2,A2,O4,O4,0.889135255,0.55210643,0.889135255,0.55210643,0.5025,0.9922,0,,,,,,,NcSh,0,-0.4233901974057255,1,1,1,0.889135255,0.55210643,False,rank_1to4_pm1,rank_1to4,cardinal
45,45,118,False,97,9,NcAs,AsNc,Mutualism,,"2,4,1,3","2,4,3,1","1,4,3,2","3,4,1,2",1,1,0,-1,P45,P118,OD2,OD2,A2,A2,O4,O4,0.922394678,0.494456763,0.922394678,0.494456763,0.3937,0.9999,0,,,,,,,NcAs,0,-0.3079201435678004,1,1,1,0.922394678,0.494456763,False,rank_1to4_pm1,rank_1to4,cardinal
46,46,119,False,101,57,NcCo,CoNc,Concord-Coordination,,"2,4,1,3","1,4,3,2","2,4,3,1","3,4,1,2",1,1,0,1,P46,P119,OD1,OD1,A1,A1,O4,O4,0.909090909,0.858093126,0.909090909,0.858093126,0.4395,0.5892,16,0.8729322682799783,0.8881487224060554,0.0702950641048712,0.0520158830200332,55;446;634;669;695;824;888;927;25;168;262;273;584;681;683;723,0.0470189980119026,NcCo,0,-0.4233901974057255,1,1,1,0.909090909,0.858093126,True,rank_1to4_pm1,rank_1to4,cardinal
47,47,120,False,99,33,NcCh,ChNc,Hegemony,,"2,4,1,3","4,3,1,2","2,3,1,4","3,4,1,2",1,1,0,-1,P47,P120,OD2,OD2,A2,A2,O1,O1,0.793791574,0.321507761,0.793791574,0.678492239,0.7342,0.906,0,,,,,,,NcCh,0,-0.4233901974057255,1,1,1,0.793791574,0.321507761,False,rank_1to4_pm1,rank_1to4,cardinal
48,48,121,False,107,129,NcPd,PdNc,HegemonType,,"2,4,1,3","4,3,2,1","1,3,2,4","3,4,1,2",1,1,0,0,P48,P121,DD,DD,A1,A1,D3,D3,0.88248337,0.747228381,0.88248337,0.252771619,0.5222,0.8156,6,0.8995567532152897,0.2762534291690302,0.0307799081381375,0.0986984154899175,290;509;520;138;154;199,0.0290326682072197,NcPd,0,-0.1924500897298753,1,1,0,0.88248337,0.747228381,True,rank_1to4_pm1,rank_1to4,cardinal
49,49,122,False,128,95,PdHr,HrPd,DilemmaHero,,"1,3,2,4","4,1,2,3","3,1,2,4","4,3,2,1",1,1,1,0,P49,P122,OD2,OD2,A2,A2,O2,O2,0.924611973,0.66962306,0.075388027,0.3303769399999999,0.3857,0.9153,12,0.2072309941270337,0.3924581361967485,0.0989268918992303,0.1278380953419234,1;101;432;469;658;839;186;412;430;449;465;589,0.1457279757015765,PdHr,1,0.0384900179459749,1,1,1,0.924611973,0.3303769399999999,True,rank_1to4_pm1,rank_1to4,cardinal
50,50,123,False,122,23,PdBa,BaPd,Patron,,"1,3,2,4","4,2,1,3","3,2,1,4","4,3,2,1",1,1,1,-1,P50,P123,OD1,OD1,A1,A1,O2,O2,0.842572062,0.22616408,0.157427938,0.77383592,0.6281,0.7713,0,,,,,,,PdBa,1,-0.0769800358919501,1,1,1,0.842572062,0.77383592,False,rank_1to4_pm1,rank_1to4,cardinal
51,51,124,False,98,21,NcBa,BaNc,Samson,,"2,4,1,3","4,2,1,3","3,2,1,4","3,4,1,2",1,1,0,-1,P51,P124,OD2,OD2,A2,A2,O1,O1,0.687361419,0.323725055,0.687361419,0.6762749450000001,0.8962,0.9084,0,,,,,,,NcBa,0,-0.3079201435678004,1,1,1,0.687361419,0.32372505499999993,False,rank_1to4_pm1,rank_1to4,cardinal
52,52,125,False,125,59,PdCo,CoPd,,Revelation,"1,3,2,4","1,4,3,2","2,4,3,1","4,3,2,1",1,1,1,1,P52,P125,OD2,OD2,A2,A2,O3,O3,0.776053215,0.742793792,0.2239467849999999,0.742793792,0.7673,0.8225,14,0.2676666136307547,0.8286290071681898,0.109100702179781,0.0685025073596319,94;114;404;445;525;573;579;65;153;159;219;287;325;804,0.0963281245455968,PdCo,1,-0.4233901974057255,1,1,1,0.7760532150000001,0.25720620800000005,True,rank_1to4_pm1,rank_1to4,cardinal
