unique_id,game_id,role,topology_raw,up_choice,has_ties,cardinal_p1,cardinal_p2,ordinal_p1,ordinal_p2,canonical_id,swap_sr,swap_sc,role_relative_to_canonical,up_choice_canonical
92,46,colplayer,"('deadlock', 'staghunt')",0.1136363636363636,False,"6,2,31,14","28,12,5,6","2,1,4,3","4,3,1,2",72.0,False,True,P1,0.1136363636363636
93,47,rowplayer,"('chicken', 'deadlock')",0.75,False,"24,12,30,5","3,33,2,8","3,2,4,1","2,4,1,3",30.0,False,True,P1,0.75
94,47,colplayer,"('deadlock', 'chicken')",0.2058823529411764,False,"3,2,33,8","24,30,12,5","2,1,4,3","3,4,2,1",63.0,False,True,P1,0.2058823529411764
95,48,rowplayer,"('concord', 'leader')",0.9,True,"16,5,7,4","1,12,6,1",,,,,,,
96,48,colplayer,"('leader', 'concord')",0.375,True,"1,6,12,1","16,7,5,4",,,,,,,
97,49,rowplayer,"('staghunt', 'safecoord')",0.3513513513513513,False,"16,3,13,12","21,1,5,14","4,1,3,2","4,1,2,3",137.0,False,True,P1,0.3513513513513513
98,49,colplayer,"('safecoord', 'staghunt')",0.8484848484848485,False,"21,5,1,14","16,13,3,12","4,2,1,3","4,3,1,2",60.0,False,True,P1,0.8484848484848485
99,50,rowplayer,"('harmony', 'deadlock')",0.8863636363636364,False,"11,9,2,1","10,31,4,11","4,3,2,1","2,4,1,3",78.0,False,True,P1,0.8863636363636364
100,50,colplayer,"('deadlock', 'harmony')",0.2142857142857142,False,"10,4,31,11","11,2,9,1","2,1,4,3","4,2,3,1",67.0,False,True,P1,0.2142857142857142
101,51,rowplayer,"('staghunt', 'peace')",0.8085106382978723,False,"34,1,11,9","26,2,9,7","4,1,3,2","4,1,3,2",142.0,False,True,P1,0.8085106382978723
102,51,colplayer,"('peace', 'staghunt')",0.925,False,"26,9,2,7","34,11,1,9","4,3,1,2","4,3,1,2",120.0,False,True,P1,0.925
103,52,rowplayer,"('deadlock', 'peace')",0.2272727272727272,False,"15,1,37,18","12,2,7,6","2,1,4,3","4,1,3,2",70.0,False,True,P1,0.2272727272727272
104,52,colplayer,"('peace', 'deadlock')",0.8717948717948718,False,"12,7,2,6","15,37,1,18","4,3,1,2","2,4,1,3",114.0,False,True,P1,0.8717948717948718
105,53,rowplayer,"('staghunt', 'safecoord')",0.6571428571428571,False,"13,1,6,4","12,2,5,8","4,1,3,2","4,1,2,3",137.0,False,True,P1,0.6571428571428571
106,53,colplayer,"('safecoord', 'staghunt')",0.92,False,"12,5,2,8","13,6,1,4","4,2,1,3","4,3,1,2",60.0,False,True,P1,0.92
107,54,rowplayer,"('assurance', 'compromise')",0.5,True,"14,1,1,6","4,37,8,13",,,,,,,
108,54,colplayer,"('compromise', 'assurance')",0.1578947368421052,True,"4,8,37,13","14,1,1,6",,,,,,,
109,55,rowplayer,"('concord', 'safecoord')",0.8478260869565217,False,"34,13,16,12","11,1,4,7","4,2,3,1","4,1,2,3",101.0,False,True,P1,0.8478260869565217
110,55,colplayer,"('safecoord', 'concord')",0.8918918918918919,False,"11,4,1,7","34,16,13,12","4,2,1,3","4,3,2,1",57.0,False,True,P1,0.8918918918918919
111,56,rowplayer,"('harmony', 'chicken')",0.967741935,False,"24,16,7,1","5,12,4,1","4,3,2,1","3,4,2,1",75.0,False,True,P1,0.967741935
112,56,colplayer,"('chicken', 'harmony')",0.3,False,"5,4,12,1","24,7,16,1","3,2,4,1","4,2,3,1",31.0,False,True,P1,0.3
113,57,rowplayer,"('leader', 'peace')",0.76,False,"19,34,35,7","16,5,7,6","2,3,4,1","4,1,3,2",22.0,False,True,P1,0.76
114,57,colplayer,"('peace', 'leader')",1.0,False,"16,7,5,6","19,35,34,7","4,3,1,2","2,4,3,1",110.0,False,True,P1,1.0
115,58,rowplayer,"('deadlock', 'dilemma')",0.2619047619047619,True,"8,2,28,8","10,15,3,5",,,,,,,
116,58,colplayer,"('dilemma', 'deadlock')",0.3695652173913043,True,"10,3,15,5","8,28,2,8",,,,,,,
117,59,rowplayer,"('chicken', 'deadlock')",0.6829268292682927,False,"14,10,21,2","22,43,21,34","3,2,4,1","2,4,1,3",30.0,False,True,P1,0.6829268292682927
118,59,colplayer,"('deadlock', 'chicken')",0.5365853658536586,False,"22,21,43,34","14,21,10,2","2,1,4,3","3,4,2,1",63.0,False,True,P1,0.5365853658536586
119,60,rowplayer,"('assurance', 'staghunt')",0.8571428571428571,False,"15,1,3,6","28,15,10,12","4,1,2,3","4,3,1,2",12.0,False,True,P1,0.8571428571428571
120,60,colplayer,"('staghunt', 'assurance')",0.8974358974358975,False,"28,10,15,12","15,3,1,6","4,1,3,2","4,2,1,3",133.0,False,True,P1,0.8974358974358975
121,61,rowplayer,"('compromise', 'peace')",0.05,True,"3,6,19,10","23,5,7,5",,,,,,,
122,61,colplayer,"('peace', 'compromise')",0.8666666666666667,True,"23,7,5,5","3,19,6,10",,,,,,,
123,62,rowplayer,"('staghunt', 'staghunt')",1.0,True,"32,1,6,1","33,17,5,12",,,,,,,
124,62,colplayer,"('staghunt', 'staghunt')",0.6818181818181818,True,"33,5,17,12","32,6,1,1",,,,,,,
125,63,rowplayer,"('dilemma', 'staghunt')",0.3333333333333333,False,"18,1,34,2","28,19,11,14","3,1,4,2","4,3,1,2",132.0,False,True,P1,0.3333333333333333
126,63,colplayer,"('staghunt', 'dilemma')",0.7777777777777778,False,"28,11,19,14","18,34,1,2","4,1,3,2","3,4,1,2",143.0,False,True,P1,0.7777777777777778
127,64,rowplayer,"('peace', 'concord')",0.90625,False,"16,8,1,7","33,27,4,2","4,3,1,2","4,3,2,1",117.0,False,True,P1,0.90625
128,64,colplayer,"('concord', 'peace')",0.8,False,"33,4,27,2","16,1,8,7","4,2,3,1","4,1,3,2",106.0,False,True,P1,0.8
129,65,rowplayer,"('safecoord', 'dilemma')",0.8888888888888888,False,"32,21,11,23","12,17,1,3","4,2,1,3","3,4,1,2",59.0,False,True,P1,0.8888888888888888
130,65,colplayer,"('dilemma', 'safecoord')",0.2909090909090909,False,"12,1,17,3","32,11,21,23","3,1,4,2","4,1,2,3",125.0,False,True,P1,0.2909090909090909
131,66,rowplayer,"('chicken', 'harmony')",0.6,False,"19,9,39,1","15,5,8,4","3,2,4,1","4,2,3,1",31.0,False,True,P1,0.6
132,66,colplayer,"('harmony', 'chicken')",0.847457627,False,"15,8,5,4","19,39,9,1","4,3,2,1","3,4,2,1",75.0,False,True,P1,0.847457627
