model,mode,layer,variant,component,mean_slope,ci_lo,ci_hi,n_games,pct_beh_flip
qwen,h2_choice,65,main_perp,beh,-0.026234567901234542,-0.18827160493827153,0.13425925925925927,54,100.0
qwen,h2_choice,65,random,letter,0.014904783950617286,0.009850111882716055,0.01996064814814815,54,79.62962962962963
qwen,h2_choice,65,random,canon,0.0009871913580246862,-0.004712912808641974,0.006630104166666667,54,79.62962962962963
qwen,h2_choice,65,random,beh,0.05246913580246914,-0.015432098765432086,0.125,54,79.62962962962963
qwen,h2_choice,79,main,letter,-0.6048518518518519,-0.6121832098765432,-0.5977288541666665,54,100.0
qwen,h2_choice,79,main,canon,-0.002192283950617284,-0.007864922839506171,0.0034495370370370413,54,100.0
qwen,h2_choice,79,main,beh,-0.11882716049382712,-0.22685185185185186,-0.00771604938271603,54,100.0
qwen,h2_choice,79,main_perp,letter,0.0014739197530864142,-0.002790929783950618,0.005948881172839506,54,77.77777777777779
qwen,h2_choice,79,main_perp,canon,-0.0022921296296296184,-0.006430852623456779,0.001704533179012362,54,77.77777777777779
qwen,h2_choice,79,main_perp,beh,-0.009259259259259247,-0.03703703703703702,0.020061728395061738,54,77.77777777777779
qwen,h2_choice,79,random,letter,-0.02877978395061728,-0.032482515432098756,-0.025095628858024677,54,79.62962962962963
qwen,h2_choice,79,random,canon,-0.0019520061728395095,-0.005591396604938277,0.002102260802469137,54,79.62962962962963
qwen,h2_choice,79,random,beh,0.021604938271604944,-0.009259259259259248,0.05401234567901235,54,79.62962962962963
qwen_instruct,h1_dinc,65,main,letter,1.2793367283950616,1.1896810686728394,1.360749837962963,54,100.0
qwen_instruct,h1_dinc,65,main,canon,0.06341975308641976,0.0013925964506173005,0.12269566358024686,54,100.0
qwen_instruct,h1_dinc,65,main,beh,0.11111111111111109,-0.0617283950617284,0.287037037037037,54,100.0
qwen_instruct,h1_dinc,65,main_perp,letter,1.2481686728395063,1.1597842052469134,1.3328115933641977,54,100.0
qwen_instruct,h1_dinc,65,main_perp,canon,0.06574305555555554,0.004949544753086413,0.12666479552469134,54,100.0
qwen_instruct,h1_dinc,65,main_perp,beh,0.08487654320987653,-0.09876543209876544,0.25771604938271603,54,100.0
qwen_instruct,h1_dinc,65,random,letter,0.0310712962962963,0.02518280092592593,0.03718846450617284,54,68.51851851851852
qwen_instruct,h1_dinc,65,random,canon,0.005958641975308648,-0.004170898919753077,0.01555935570987656,54,68.51851851851852
qwen_instruct,h1_dinc,65,random,beh,0.0030864197530864252,-0.047839506172839504,0.055594135802469295,54,68.51851851851852
qwen_instruct,h1_dinc,79,main,letter,1.004925771604938,0.9084642862654322,1.0924117361111112,54,100.0
qwen_instruct,h1_dinc,79,main,canon,0.05378780864197529,-0.049532326388888895,0.1548277083333333,54,100.0
qwen_instruct,h1_dinc,79,main,beh,-0.015432098765432148,-0.24692644032921812,0.21296296296296285,54,100.0
qwen_instruct,h1_dinc,79,main_perp,letter,-0.0022709876543209905,-0.004232280092592596,-0.00020393518518518886,54,66.66666666666666
qwen_instruct,h1_dinc,79,main_perp,canon,0.0001845679012345631,-0.0017188657407407471,0.0022288464506172766,54,66.66666666666666
qwen_instruct,h1_dinc,79,main_perp,beh,0.023148148148148147,0.0,0.05246913580246914,54,66.66666666666666
qwen_instruct,h1_dinc,79,random,letter,0.0368016975308642,0.03161608410493827,0.04224319058641975,54,68.51851851851852
qwen_instruct,h1_dinc,79,random,canon,0.001555092592592593,-0.004226770833333337,0.007363939043209872,54,68.51851851851852
qwen_instruct,h1_dinc,79,random,beh,0.020061728395061724,-0.030864197530864196,0.07716049382716049,54,68.51851851851852
qwen_instruct,h2_choice,65,main,letter,-0.6364913580246911,-0.7047959374999999,-0.5678506327160494,54,88.88888888888889
qwen_instruct,h2_choice,65,main,canon,0.0097679012345679,-0.05341537037037036,0.0754733950617284,54,88.88888888888889
qwen_instruct,h2_choice,65,main,beh,0.043209876543209874,-0.11111111111111106,0.19290123456790123,54,88.88888888888889
qwen_instruct,h2_choice,65,main_perp,letter,-0.6139604938271603,-0.6817796836419753,-0.5469374652777776,54,87.03703703703704
qwen_instruct,h2_choice,65,main_perp,canon,0.010279320987654335,-0.05583653549382715,0.07484805941358028,54,87.03703703703704
qwen_instruct,h2_choice,65,main_perp,beh,0.044753086419753084,-0.10343364197530865,0.19290123456790123,54,87.03703703703704
qwen_instruct,h2_choice,65,random,letter,0.0310712962962963,0.024999594907407406,0.03702570216049383,54,68.51851851851852
qwen_instruct,h2_choice,65,random,canon,0.005958641975308648,-0.004129841820987643,0.01621141975308643,54,68.51851851851852
qwen_instruct,h2_choice,65,random,beh,0.0030864197530864252,-0.046296296296296294,0.05555555555555557,54,68.51851851851852
qwen_instruct,h2_choice,79,main,letter,-0.7579817901234568,-0.8343671990740739,-0.6789093518518516,54,98.14814814814815
qwen_instruct,h2_choice,79,main,canon,-0.03867314814814815,-0.12582107638888887,0.04944295910493826,54,98.14814814814815
qwen_instruct,h2_choice,79,main,beh,0.0025720164609053676,-0.18211162551440327,0.179539609053498,54,98.14814814814815
qwen_instruct,h2_choice,79,main_perp,letter,0.0028600308641975325,0.0003972260802469188,0.0055692206790123495,54,68.51851851851852
qwen_instruct,h2_choice,79,main_perp,canon,-0.0005029320987654295,-0.0024194907407407316,0.0014034490740740754,54,68.51851851851852
qwen_instruct,h2_choice,79,main_perp,beh,-0.012345679012345682,-0.035493827160493825,0.009259259259259252,54,68.51851851851852
qwen_instruct,h2_choice,79,random,letter,0.0368016975308642,0.03170735725308641,0.042064498456790125,54,68.51851851851852
qwen_instruct,h2_choice,79,random,canon,0.001555092592592593,-0.0041831249999999985,0.0073111342592592585,54,68.51851851851852
qwen_instruct,h2_choice,79,random,beh,0.020061728395061724,-0.035493827160493825,0.07561728395061727,54,68.51851851851852
