model,mode,layer,variant,game_code,family,delta1_c,slope_letter,range_letter,slope_canon,range_canon,slope_beh,range_beh,beh_flip
qwen_instruct,h1_dinc,65,main_perp,AsBa,MP,-0.0,1.5295166666666664,0.768625,-0.025783333333333387,0.018625000000000003,0.0,0.0,1
qwen_instruct,h1_dinc,65,main_perp,AsCh,MP,-0.0,1.4790583333333336,0.744,0.18600833333333336,0.08757500000000001,0.0,0.0,1
qwen_instruct,h1_dinc,65,main_perp,AsCm,OD1,-0.0,1.316083333333333,0.658325,0.4097999999999999,0.23365000000000002,0.8333333333333335,0.5,1
qwen_instruct,h1_dinc,65,main_perp,AsCo,CO2,0.0,1.6071333333333333,0.8033250000000001,-0.05429999999999998,0.041224999999999984,0.08333333333333334,0.25,1
qwen_instruct,h1_dinc,65,main_perp,AsDl,OD1,-0.0,1.4843083333333331,0.7568,0.3276583333333334,0.187225,1.0833333333333333,0.5,1
qwen_instruct,h1_dinc,65,main_perp,AsHa,OD2,0.0,1.4263916666666665,0.7550999999999999,0.20474166666666668,0.11025,0.5833333333333334,0.25,1
qwen_instruct,h1_dinc,65,main_perp,AsHr,MP,-0.0,1.5751583333333334,0.7831,0.13640833333333335,0.08545000000000003,0.08333333333333334,0.25,1
qwen_instruct,h1_dinc,65,main_perp,AsNc,OD2,0.0,1.3237833333333335,0.71635,0.08326666666666661,0.03692500000000001,0.8333333333333333,0.5,1
qwen_instruct,h1_dinc,65,main_perp,AsPc,OD2,0.0,1.5380083333333332,0.7782999999999999,0.24992499999999987,0.17087500000000003,0.6666666666666667,0.25,1
qwen_instruct,h1_dinc,65,main_perp,AsPd,OD1,-0.0,1.70675,0.843375,0.008516666666666676,0.02495,0.0,0.0,1
qwen_instruct,h1_dinc,65,main_perp,AsSh,CO1,0.0,1.6611416666666665,0.8478249999999999,0.038508333333333374,0.03377500000000003,0.16666666666666669,0.25,1
qwen_instruct,h1_dinc,65,main_perp,BaAs,MP,0.0,1.5467583333333332,0.79555,-0.1571416666666667,0.15350000000000003,-0.6666666666666667,0.25,1
qwen_instruct,h1_dinc,65,main_perp,BaBa,CO2,0.0,1.4838999999999996,0.7598,-0.1650666666666666,0.25975,-0.6666666666666667,0.5,1
qwen_instruct,h1_dinc,65,main_perp,BaCh,CO2,0.0,1.6614333333333335,0.8347249999999999,-0.13681666666666661,0.21714999999999998,-0.8333333333333335,0.5,1
qwen_instruct,h1_dinc,65,main_perp,BaCm,OD1,0.0,1.2917083333333332,0.6618999999999999,-0.17549166666666674,0.281925,-0.8333333333333331,0.5,1
qwen_instruct,h1_dinc,65,main_perp,BaCo,MP,0.0,1.4390333333333332,0.7473999999999998,-0.21069999999999994,0.22285,-0.9999999999999999,0.5,1
qwen_instruct,h1_dinc,65,main_perp,BaDl,OD1,0.0,1.4732999999999998,0.75185,-0.31769999999999987,0.236275,-1.25,0.5,1
qwen_instruct,h1_dinc,65,main_perp,BaHa,OD2,-0.0,1.5569000000000002,0.8010999999999999,0.14633333333333326,0.19302500000000003,0.5833333333333333,0.25,1
qwen_instruct,h1_dinc,65,main_perp,BaHr,CO1,0.0,1.2224666666666664,0.6296999999999999,-0.21444999999999986,0.268375,-0.9999999999999999,0.5,1
qwen_instruct,h1_dinc,65,main_perp,BaNc,OD2,-0.0,1.4717416666666665,0.77235,0.10575833333333323,0.06129999999999999,0.16666666666666669,0.25,1
qwen_instruct,h1_dinc,65,main_perp,BaPc,OD2,-0.0,1.5031249999999998,0.772025,0.23655833333333334,0.25105,0.75,0.5,1
qwen_instruct,h1_dinc,65,main_perp,BaPd,OD1,0.0,1.5010416666666664,0.7553249999999999,-0.15774166666666664,0.22892500000000002,-0.6666666666666667,0.5,1
qwen_instruct,h1_dinc,65,main_perp,BaSh,MP,0.0,1.4238499999999996,0.75035,0.02468333333333336,0.09579999999999998,0.24999999999999997,0.5,1
qwen_instruct,h1_dinc,65,main_perp,ChAs,MP,0.0,1.449883333333333,0.7318749999999999,-0.13716666666666663,0.17174999999999999,-0.5833333333333333,0.5,1
qwen_instruct,h1_dinc,65,main_perp,ChBa,CO2,0.0,1.174525,0.597375,-0.3984916666666664,0.31415,-1.083333333333333,0.5,1
qwen_instruct,h1_dinc,65,main_perp,ChCh,CO2,0.0,1.3352416666666664,0.70505,-0.32254166666666667,0.147125,-0.41666666666666663,0.25,1
qwen_instruct,h1_dinc,65,main_perp,ChCm,OD1,0.0,1.3205666666666664,0.666025,-0.32973333333333327,0.27875,-1.083333333333333,0.5,1
qwen_instruct,h1_dinc,65,main_perp,ChCo,MP,0.0,1.465258333333333,0.753025,-0.12395833333333334,0.24485,-0.6666666666666667,0.5,1
qwen_instruct,h1_dinc,65,main_perp,ChDl,OD1,0.0,1.129575,0.57215,-0.4017916666666667,0.2743,-1.0833333333333333,0.5,1
qwen_instruct,h1_dinc,65,main_perp,ChHa,OD2,-0.0,1.3651499999999999,0.6997249999999999,-0.043333333333333376,0.25612499999999994,0.5833333333333333,0.5,1
qwen_instruct,h1_dinc,65,main_perp,ChHr,CO1,0.0,1.1101666666666665,0.56195,-0.3956166666666664,0.298075,-1.083333333333333,0.5,1
qwen_instruct,h1_dinc,65,main_perp,CmAs,OD1,2.0,0.8001916666666665,0.41935,0.23325833333333323,0.22937499999999997,0.4166666666666666,0.25,1
qwen_instruct,h1_dinc,65,main_perp,CmCm,DD,2.0,0.5369666666666666,0.28675,0.38604999999999984,0.23832499999999995,0.4166666666666666,0.25,1
qwen_instruct,h1_dinc,65,main_perp,CmDl,DD,2.0,0.6030416666666667,0.32,0.33799166666666663,0.2351,0.0,0.0,1
qwen_instruct,h1_dinc,65,main_perp,CmHa,DD,2.0,0.6642166666666666,0.353675,0.30623333333333325,0.2387,0.4166666666666666,0.25,1
qwen_instruct,h1_dinc,65,main_perp,CmNc,DD,2.0,0.6494833333333332,0.35775,0.20315000000000003,0.219275,0.4166666666666666,0.25,1
qwen_instruct,h1_dinc,65,main_perp,CoAs,CO2,1.0,1.2227666666666666,0.610125,0.42148333333333327,0.284925,0.6666666666666667,0.5,1
qwen_instruct,h1_dinc,65,main_perp,CoCo,CO1,1.0,1.2952416666666666,0.65625,0.3404083333333332,0.286975,1.083333333333333,0.5,1
qwen_instruct,h1_dinc,65,main_perp,CoSh,CO2,1.0,1.103575,0.5492,0.5277749999999999,0.3115,1.0833333333333333,0.5,1
qwen_instruct,h1_dinc,65,main_perp,HaAs,OD2,2.0,0.6446416666666666,0.333125,0.44047499999999984,0.266425,0.8333333333333331,0.5,1
qwen_instruct,h1_dinc,65,main_perp,HaBa,OD2,2.0,0.8898916666666666,0.473425,-0.060125000000000046,0.225125,0.0,0.0,1
qwen_instruct,h1_dinc,65,main_perp,HaCm,DD,2.0,1.208075,0.6199,0.019091666666666753,0.245225,0.4166666666666666,0.5,1
qwen_instruct,h1_dinc,65,main_perp,HaDl,DD,2.0,0.8473499999999998,0.4606,0.11919999999999999,0.231325,0.8333333333333331,0.5,1
qwen_instruct,h1_dinc,65,main_perp,HaHa,DD,2.0,0.6917,0.36740000000000006,0.3173166666666664,0.24905,0.8333333333333331,0.5,1
qwen_instruct,h1_dinc,65,main_perp,HaNc,DD,2.0,0.681458333333333,0.377575,0.18535833333333332,0.224675,0.0,0.0,1
qwen_instruct,h1_dinc,65,main_perp,HaPc,DD,2.0,0.8092083333333332,0.426875,0.25347499999999995,0.24719999999999998,0.4166666666666666,0.25,1
qwen_instruct,h1_dinc,65,main_perp,HrAs,MP,1.0,1.2832666666666666,0.654225,0.24961666666666674,0.25865,0.6666666666666664,0.5,1
qwen_instruct,h1_dinc,65,main_perp,HrBa,CO1,1.0,1.0490916666666665,0.5520499999999999,0.187375,0.269425,0.8333333333333331,0.5,1
qwen_instruct,h1_dinc,65,main_perp,HrCh,CO1,1.0,0.8908916666666664,0.46104999999999996,0.325525,0.27922499999999995,0.4166666666666666,0.5,1
qwen_instruct,h1_dinc,65,main_perp,HrHr,CO2,1.0,1.14675,0.590925,0.1540833333333333,0.257775,0.8333333333333331,0.5,1
qwen_instruct,h1_dinc,65,main_perp,ShAs,CO1,0.0,1.4482750000000002,0.768475,-0.029408333333333293,0.02819999999999999,0.0,0.0,1
qwen_instruct,h1_dinc,65,main_perp,ShCo,CO2,0.0,1.348308333333333,0.6965249999999998,0.19365833333333332,0.08994999999999999,0.41666666666666663,0.25,1
