model,mode,steer_layer,variant,game_code,counterbalance_id,range_letter,range_act0,range_canon,flip_letter,flip_action,flip_canon,family,wave
llama31_instruct,h1_dinc,65,main,CmCm,0,0.6923,0.6923,0.6923,1,1,1,DD,2
llama31_instruct,h1_dinc,65,main,CmCm,1,0.6383,0.6383,0.6383,1,1,1,DD,2
llama31_instruct,h1_dinc,65,main,CmCm,2,0.39680000000000004,0.39680000000000004,0.39680000000000004,0,0,0,DD,2
llama31_instruct,h1_dinc,65,main,CmCm,3,0.536,0.536,0.536,1,1,1,DD,2
llama31_instruct,h1_dinc,65,main,CmDl,0,0.6035,0.6035,0.6035,1,1,1,DD,4
llama31_instruct,h1_dinc,65,main,CmDl,1,0.5322,0.5322,0.5321999999999999,1,1,1,DD,4
llama31_instruct,h1_dinc,65,main,CmDl,2,0.512,0.512,0.512,1,1,1,DD,4
llama31_instruct,h1_dinc,65,main,CmDl,3,0.5892999999999999,0.5893,0.5893,1,1,1,DD,4
llama31_instruct,h1_dinc,65,main,CmHa,0,0.7417999999999999,0.7417999999999999,0.7417999999999999,1,1,1,DD,6
llama31_instruct,h1_dinc,65,main,CmHa,1,0.6369,0.6369,0.6369,1,1,1,DD,6
llama31_instruct,h1_dinc,65,main,CmHa,2,0.3405,0.3405,0.3405,0,0,0,DD,6
llama31_instruct,h1_dinc,65,main,CmHa,3,0.6554,0.6554,0.6554,1,1,1,DD,6
llama31_instruct,h1_dinc,65,main,CmNc,0,0.7096,0.7096,0.7096,1,1,1,DD,8
llama31_instruct,h1_dinc,65,main,CmNc,1,0.6196999999999999,0.6196999999999999,0.6196999999999999,1,1,1,DD,8
llama31_instruct,h1_dinc,65,main,CmNc,2,0.4284,0.4284,0.4284,0,0,0,DD,8
llama31_instruct,h1_dinc,65,main,CmNc,3,0.6005,0.6004999999999999,0.6004999999999999,1,1,1,DD,8
llama31_instruct,h1_dinc,65,main,CoAs,0,0.7985,0.7985,0.7985,1,1,1,CO2,7
llama31_instruct,h1_dinc,65,main,CoAs,1,0.6951999999999999,0.6951999999999999,0.6951999999999999,1,1,1,CO2,7
llama31_instruct,h1_dinc,65,main,CoAs,2,0.7384,0.7384,0.7384,1,1,1,CO2,7
llama31_instruct,h1_dinc,65,main,CoAs,3,0.5547,0.5547,0.5547,1,1,1,CO2,7
llama31_instruct,h1_dinc,65,main,CoCo,0,0.7564,0.7564,0.7564,1,1,1,CO1,7
llama31_instruct,h1_dinc,65,main,CoCo,1,0.6833,0.6833,0.6833,1,1,1,CO1,7
llama31_instruct,h1_dinc,65,main,CoCo,2,0.7449,0.7449,0.7449,1,1,1,CO1,7
llama31_instruct,h1_dinc,65,main,CoCo,3,0.6791999999999999,0.6791999999999999,0.6791999999999999,1,1,1,CO1,7
llama31_instruct,h1_dinc,65,main,CoSh,0,0.8278,0.8278,0.8278,1,1,1,CO2,8
llama31_instruct,h1_dinc,65,main,CoSh,1,0.7842,0.7842,0.7842,1,1,1,CO2,8
llama31_instruct,h1_dinc,65,main,CoSh,2,0.5448999999999999,0.5448999999999999,0.5448999999999999,1,1,1,CO2,8
llama31_instruct,h1_dinc,65,main,CoSh,3,0.4848,0.4848,0.4848,1,1,1,CO2,8
llama31_instruct,h1_dinc,65,main,HaAs,0,0.633,0.633,0.633,1,1,1,OD2,7
llama31_instruct,h1_dinc,65,main,HaAs,1,0.6685000000000001,0.6685000000000001,0.6685000000000001,1,1,1,OD2,7
llama31_instruct,h1_dinc,65,main,HaAs,2,0.7225,0.7225,0.7225,1,1,1,OD2,7
llama31_instruct,h1_dinc,65,main,HaAs,3,0.5322,0.5321999999999999,0.5321999999999999,1,1,1,OD2,7
llama31_instruct,h1_dinc,65,main,HaBa,0,0.8134,0.8134,0.8134,1,1,1,OD2,9
llama31_instruct,h1_dinc,65,main,HaBa,1,0.7759,0.7759,0.7759,1,1,1,OD2,9
llama31_instruct,h1_dinc,65,main,HaBa,2,0.5203,0.5203,0.5203,1,1,1,OD2,9
llama31_instruct,h1_dinc,65,main,HaBa,3,0.4788,0.4788,0.4788,1,1,1,OD2,9
llama31_instruct,h1_dinc,65,main,HaCm,0,0.8144,0.8144,0.8144,1,1,1,DD,1
llama31_instruct,h1_dinc,65,main,HaCm,1,0.7646999999999999,0.7646999999999999,0.7646999999999999,1,1,1,DD,1
llama31_instruct,h1_dinc,65,main,HaCm,2,0.5447,0.5447,0.5447,1,1,1,DD,1
llama31_instruct,h1_dinc,65,main,HaCm,3,0.4465,0.4465,0.4465,0,0,0,DD,1
llama31_instruct,h1_dinc,65,main,HaDl,0,0.8278,0.8278,0.8278,1,1,1,DD,3
llama31_instruct,h1_dinc,65,main,HaDl,1,0.7239,0.7239,0.7239,1,1,1,DD,3
llama31_instruct,h1_dinc,65,main,HaDl,2,0.6878,0.6878,0.6878,1,1,1,DD,3
llama31_instruct,h1_dinc,65,main,HaDl,3,0.5246,0.5246,0.5246,1,1,1,DD,3
llama31_instruct,h1_dinc,65,main,HaHa,0,0.6020000000000001,0.6020000000000001,0.6020000000000001,1,1,1,DD,5
llama31_instruct,h1_dinc,65,main,HaHa,1,0.618,0.618,0.618,1,1,1,DD,5
llama31_instruct,h1_dinc,65,main,HaHa,2,0.6526,0.6526,0.6526,1,1,1,DD,5
llama31_instruct,h1_dinc,65,main,HaHa,3,0.49470000000000003,0.49470000000000003,0.49470000000000003,1,1,1,DD,5
llama31_instruct,h1_dinc,65,main,HaNc,0,0.6581,0.6581,0.6581,1,1,1,DD,7
llama31_instruct,h1_dinc,65,main,HaNc,1,0.7308,0.7308,0.7308,1,1,1,DD,7
llama31_instruct,h1_dinc,65,main,HaNc,2,0.3198,0.3198,0.3198,0,0,0,DD,7
