model,mode,steer_layer,variant,game_code,d_letter_slope,d_letter_range,d_letter_at_pos025,d_letter_at_neg025,d_act0_slope,d_act0_range,d_act0_at_pos025,d_act0_at_neg025,d_canon_slope,d_canon_range,d_canon_at_pos025,d_canon_at_neg025,d_beh_letter_slope,d_beh_letter_range,d_beh_letter_at_pos025,d_beh_letter_at_neg025,d_beh_act0_slope,d_beh_act0_range,d_beh_act0_at_pos025,d_beh_act0_at_neg025,d_beh_canon_slope,d_beh_canon_range,d_beh_canon_at_pos025,d_beh_canon_at_neg025,wave,family,num_pure_ne,complexity_score,payoff_conflict
llama31_instruct,h1_dinc,65,main,HrAs,1.375783333333333,0.6766749999999999,0.33329999999999993,-0.34337500000000004,0.13676666666666668,0.1685,0.1685,0.09677500000000003,-0.13676666666666668,0.16850000000000004,-0.16850000000000004,-0.09677500000000003,1.9166666666666663,1.0,0.5,-0.5,0.25000000000000017,0.5,0.5,0.5,-0.25000000000000017,0.5,-0.5,-0.5,8,MP,0,0.68329601758822,2.0
llama31_instruct,h1_dinc,65,main,HrBa,1.6392666666666664,0.77935,0.406425,-0.37292499999999995,-0.005799999999999857,0.141725,0.141725,0.13567499999999996,0.005799999999999904,0.14172500000000002,-0.14172500000000002,-0.135675,2.333333333333333,1.0,0.5,-0.5,-0.1666666666666662,0.5,0.5,0.5,0.1666666666666662,0.5,-0.5,-0.5,2,CO1,2,0.069651690163614,0.3999999999999999
llama31_instruct,h1_dinc,65,main,HrCh,1.4594749999999996,0.71105,0.4385,-0.27254999999999996,-0.07714166666666666,0.13955,0.1166,0.13394999999999999,0.07714166666666665,0.13955,-0.11660000000000001,-0.13395,2.083333333333333,1.0,0.5,-0.5,-0.4166666666666663,0.5,0.5,0.5,0.4166666666666663,0.5,-0.5,-0.5,4,CO1,2,0.3294593112989456,1.0
llama31_instruct,h1_dinc,65,main,HrHr,1.5193333333333334,0.7365,0.390425,-0.346075,0.012033333333333342,0.17042500000000002,0.17042500000000002,0.158625,-0.012033333333333342,0.17042500000000002,-0.17042500000000002,-0.158625,1.9999999999999998,1.0,0.5,-0.5,4.623039550284263e-17,0.5,0.5,0.5,-4.623039550284263e-17,0.5,-0.5,-0.5,2,CO2,2,-0.0169508502148298,0.2
llama31_instruct,h1_dinc,65,main,ShAs,1.3926916666666667,0.708125,0.545675,-0.16244999999999998,0.14840833333333342,0.08432500000000001,0.03142500000000001,-0.036950000000000024,0.14840833333333342,0.08432500000000001,0.03142500000000001,-0.036950000000000024,1.8333333333333335,1.0,1.0,0.0,0.16666666666666669,0.25,0.0,0.0,0.16666666666666669,0.25,0.0,0.0,8,CO1,2,-0.3437457694579421,0.6000000000000001
llama31_instruct,h1_dinc,65,main,ShCo,1.3055916666666667,0.644525,0.47115,-0.173375,0.30354166666666654,0.164475,0.021999999999999964,-0.09187500000000001,0.30354166666666654,0.164475,0.021999999999999964,-0.09187500000000001,1.6666666666666665,0.75,0.75,0.0,0.8333333333333335,0.5,0.25,0.0,0.8333333333333335,0.5,0.25,0.0,9,CO2,2,-0.5169508502148299,0.2
llama31_instruct,h1_dinc,65,main,ShSh,1.4279,0.7059749999999999,0.512075,-0.1939,0.19966666666666666,0.11792499999999999,0.01047500000000004,-0.06749999999999998,0.19966666666666666,0.11792499999999999,0.01047500000000004,-0.06749999999999998,1.9999999999999998,1.0,1.0,0.0,0.33333333333333337,0.5,0.0,0.0,0.33333333333333337,0.5,0.0,0.0,9,CO1,2,-0.2571432290794982,0.8
llama31_instruct,h1_dinc,65,main_perp,AsAs,1.4094083333333332,0.699575,0.48467499999999997,-0.21489999999999998,0.176325,0.124,-0.011124999999999968,-0.0726,0.176325,0.124,-0.011124999999999968,-0.0726,1.9999999999999998,1.0,1.0,0.0,0.33333333333333337,0.5,0.0,0.0,0.33333333333333337,0.5,0.0,0.0,1,CO1,2,-0.5169508502148299,0.2
llama31_instruct,h1_dinc,65,main_perp,AsBa,1.4233083333333332,0.7013499999999999,0.4715,-0.22985,0.12322500000000003,0.07342499999999999,-0.0007999999999999674,-0.04439999999999997,-0.12322500000000002,0.07342499999999999,0.0007999999999999396,0.04439999999999994,2.083333333333333,1.0,1.0,0.0,0.41666666666666674,0.5,0.0,0.0,-0.41666666666666674,0.5,0.0,0.0,2,MP,0,0.5678259637502947,1.7999999999999998
llama31_instruct,h1_dinc,65,main_perp,AsCh,1.437125,0.70275,0.4726,-0.23015,0.21442500000000003,0.10445,0.005499999999999977,-0.07550000000000003,-0.2144249999999999,0.10444999999999999,-0.005500000000000005,0.07549999999999998,1.9999999999999998,1.0,1.0,0.0,0.33333333333333337,0.5,0.0,0.0,-0.33333333333333337,0.5,0.0,0.0,4,MP,0,0.3368858560744445,1.4
