model,mode,steer_layer,variant,family,n_games,d_letter_slope_mean,d_letter_range_mean,d_canon_slope_mean,d_canon_range_mean,d_beh_canon_slope_mean,d_beh_canon_range_mean,flip_canon_rate,cell_canon_range_mean
qwen,h1_dinc,65,main,OD2,9,1.0254435185185187,0.5067611111111111,0.016641666666666645,0.03614444444444444,0.11111111111111106,0.2777777777777778,1.0,0.5067611111111111
qwen,h1_dinc,65,main_perp,CO1,9,1.0196,0.5041305555555555,-0.002448148148148137,0.03713611111111112,0.05555555555555558,0.3888888888888889,1.0,0.5041305555555555
qwen,h1_dinc,65,main_perp,CO2,9,1.0071444444444444,0.497375,0.010599999999999993,0.03890277777777778,0.06481481481481478,0.3333333333333333,1.0,0.497375
qwen,h1_dinc,65,main_perp,DD,9,0.9836527777777777,0.4889305555555555,0.07498611111111111,0.07717500000000002,0.18518518518518504,0.5,0.9722222222222222,0.4889305555555555
qwen,h1_dinc,65,main_perp,MP,9,1.0187564814814813,0.5019527777777778,-0.007521296296296294,0.031727777777777764,-0.03703703703703703,0.3055555555555556,1.0,0.5019527777777779
qwen,h1_dinc,65,main_perp,OD1,9,1.0218250000000002,0.5037138888888888,0.006763888888888867,0.03300277777777778,0.00925925925925932,0.3611111111111111,0.9722222222222222,0.5037138888888889
qwen,h1_dinc,65,main_perp,OD2,9,1.0093462962962962,0.49885,0.026114814814814785,0.03639444444444443,0.1388888888888889,0.3333333333333333,1.0,0.49885
qwen,h1_dinc,65,random,CO1,9,0.013709259259259256,0.020286111111111112,-0.003162962962962987,0.01716111111111111,0.16666666666666663,0.08333333333333333,0.08333333333333333,0.03731944444444444
qwen,h1_dinc,65,random,CO2,9,0.022703703703703695,0.019950000000000006,-0.00891111111111111,0.016380555555555565,0.018518518518518528,0.1111111111111111,0.1111111111111111,0.034766666666666675
qwen,h1_dinc,65,random,DD,9,0.015719444444444442,0.01818611111111111,0.0010824074074073863,0.015650000000000004,0.0,0.0,0.0,0.035022222222222205
qwen,h1_dinc,65,random,MP,9,0.008558333333333338,0.019761111111111108,0.013869444444444441,0.019799999999999998,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.03641666666666668
