delta_c,shap_delta_c,model
-0.0,-0.8210417826403218,qwen
-0.0,-1.3337731521209668,qwen
-0.0,-1.670643568841169,qwen
-0.0,-1.592435950759366,qwen
-0.0,-1.3187729341554602,qwen
-0.0,-1.0149643660549565,qwen
-0.0,-1.0455004547181286,qwen
-0.0,-0.8210417826403218,qwen
-0.0,-1.3337731521209668,qwen
-0.0,-1.670643568841169,qwen
-0.0,-1.592435950759366,qwen
-0.0,-1.3187729341554602,qwen
-0.0,-1.0149643660549565,qwen
-0.0,-1.0455004547181286,qwen
-0.0,-0.8210417826403218,qwen
-0.0,-1.3337731521209668,qwen
-0.0,-1.670643568841169,qwen
-0.0,-1.592435950759366,qwen
0.0,-1.4185918767898018,qwen
0.0,-1.077546756910301,qwen
0.0,-1.109702448968456,qwen
0.0,-0.9457755305829008,qwen
0.0,-1.4335920947553087,qwen
0.0,-1.7773593022461778,qwen
0.0,-1.6998915447096548,qwen
0.0,-1.4185918767898018,qwen
0.0,-1.077546756910301,qwen
0.0,-1.109702448968456,qwen
0.0,-0.9457755305829008,qwen
0.0,-1.4335920947553087,qwen
0.0,-1.7773593022461778,qwen
0.0,-1.6998915447096548,qwen
0.0,-1.4185918767898018,qwen
0.0,-1.077546756910301,qwen
0.0,-1.109702448968456,qwen
0.0,-0.9457755305829008,qwen
0.0,-1.4335920947553087,qwen
0.0,-1.7773593022461778,qwen
0.0,-1.6998915447096548,qwen
0.0,-1.4185918767898018,qwen
0.0,-1.077546756910301,qwen
0.0,-1.109702448968456,qwen
0.0,-0.9457755305829008,qwen
0.0,-1.4335920947553087,qwen
0.0,-1.7773593022461778,qwen
0.0,-1.6998915447096548,qwen
-0.0,-1.2361407045866646,qwen
-0.0,-0.9901686655710967,qwen
-0.0,-0.9670893159449887,qwen
-0.0,-0.6746974173617747,qwen
-0.0,-1.25074920270736,qwen
-0.0,-1.527375795399834,qwen
-0.0,-1.5424819223247126,qwen
-0.0,-1.2361407045866646,qwen
-0.0,-0.9901686655710967,qwen
-0.0,-0.9670893159449887,qwen
-0.0,-0.6746974173617747,qwen
