model,round,trait,family,game,a_star,dose,base0,cue0,null0,shift0,nullshift0,abs_shift,abs_nullshift,shift_pref,nullshift_pref,net_pref,base_pref,n_pairs,flips,flips_aligned,source
gptoss,1,loss,trait,PdDl,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,loss,trait,PdHa,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,loss,trait,PdHr,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,loss,trait,PdNc,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,loss,trait,PdPc,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,loss,trait,PdPd,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,loss,trait,PdSh,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,loss,trait,ShAs,1,-1.0,1.0,0.0,0.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-0.0,0.0,4,4,4,corrected_integrated_root
gptoss,1,loss,trait,ShBa,1,-1.0,0.25,0.0,0.5,-0.25,0.25,0.25,0.25,0.25,-0.25,0.5,0.75,4,1,1,corrected_integrated_root
gptoss,1,loss,trait,ShCh,1,-1.0,0.25,0.0,0.0,-0.25,-0.25,0.25,0.25,0.25,0.25,-0.0,0.75,4,1,1,corrected_integrated_root
gptoss,1,loss,trait,ShCm,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,loss,trait,ShCo,1,-1.0,0.75,0.0,0.75,-0.75,0.0,0.75,0.0,0.75,-0.0,0.75,0.25,4,3,3,corrected_integrated_root
gptoss,1,loss,trait,ShDl,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,loss,trait,ShHa,1,-1.0,1.0,0.0,0.75,-1.0,-0.25,1.0,0.25,1.0,0.25,0.75,0.0,4,4,4,corrected_integrated_root
gptoss,1,loss,trait,ShHr,1,-1.0,0.25,0.0,0.25,-0.25,0.0,0.25,0.0,0.25,-0.0,0.25,0.75,4,1,1,corrected_integrated_root
gptoss,1,loss,trait,ShNc,1,-1.0,0.75,0.0,1.0,-0.75,0.25,0.75,0.25,0.75,-0.25,1.0,0.25,4,3,3,corrected_integrated_root
gptoss,1,loss,trait,ShPc,1,-1.0,0.75,0.0,0.5,-0.75,-0.25,0.75,0.25,0.75,0.25,0.5,0.25,4,3,3,corrected_integrated_root
gptoss,1,loss,trait,ShPd,1,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,loss,trait,ShSh,1,-1.0,0.75,0.0,0.0,-0.75,-0.75,0.75,0.75,0.75,0.75,-0.0,0.25,4,3,3,corrected_integrated_root
gptoss,1,inequity,trait,AsBa,1,-1.0,0.25,0.0,0.0,-0.25,-0.25,0.25,0.25,0.25,0.25,-0.0,0.75,4,1,1,corrected_integrated_root
gptoss,1,inequity,trait,AsCh,1,-1.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,-0.0,-0.25,0.25,1.0,4,0,0,corrected_integrated_root
gptoss,1,inequity,trait,AsCm,1,-3.0,0.25,0.0,0.0,-0.25,-0.25,0.25,0.25,0.25,0.25,-0.0,0.75,4,1,1,corrected_integrated_root
gptoss,1,inequity,trait,AsDl,1,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,inequity,trait,AsHa,0,1.0,1.0,1.0,0.75,0.0,-0.25,0.0,0.25,0.0,-0.25,0.25,1.0,4,0,0,corrected_integrated_root
gptoss,1,inequity,trait,AsHr,1,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,4,0,0,corrected_integrated_root
gptoss,1,inequity,trait,AsPc,0,1.0,1.0,1.0,0.75,0.0,-0.25,0.0,0.25,0.0,-0.25,0.25,1.0,4,0,0,corrected_integrated_root
