unique_id,game_id,up_choice,p1_AA,p1_AB,p1_BA,p1_BB,p2_AA,p2_AB,p2_BA,p2_BB,role,topology_raw,choice_br,choice_psne
1676,838,0.65,8,19,22,3,16,36,31,1,colplayer,"('leader', 'leader')",0.35,1
1675,838,0.7428571428571429,16,31,36,1,8,22,19,3,rowplayer,"('leader', 'leader')",0.2571428571428571,1
1680,840,0.9743589743589743,28,6,4,14,38,2,3,6,colplayer,"('safecoord', 'safecoord')",0.9743589743589743,1
1679,840,0.9047619047619048,38,3,2,6,28,4,6,14,rowplayer,"('safecoord', 'safecoord')",0.9047619047619048,1
1748,874,0.8846153846153846,15,3,7,5,34,19,10,14,colplayer,"('staghunt', 'staghunt')",0.8846153846153846,1
1747,874,0.8333333333333334,34,10,19,14,15,7,3,5,rowplayer,"('staghunt', 'staghunt')",0.8333333333333334,1
1756,878,0.7636363636363637,32,4,5,22,10,5,3,8,colplayer,"('assurance', 'assurance')",0.7636363636363637,1
1755,878,0.7272727272727273,10,3,5,8,32,5,4,22,rowplayer,"('assurance', 'assurance')",0.7272727272727273,1
1764,882,0.7,25,16,20,23,23,4,2,8,colplayer,"('assurance', 'assurance')",0.7,1
1763,882,0.967741935,23,2,4,8,25,20,16,23,rowplayer,"('assurance', 'assurance')",0.967741935,1
1778,889,0.75,22,21,25,11,29,44,19,12,colplayer,"('chicken', 'chicken')",0.75,1
1777,889,0.46875,29,19,44,12,22,25,21,11,rowplayer,"('chicken', 'chicken')",0.53125,1
1782,891,0.5,11,1,8,7,30,20,9,15,colplayer,"('staghunt', 'staghunt')",0.5,1
1781,891,0.6842105263157895,30,9,20,15,11,8,1,7,rowplayer,"('staghunt', 'staghunt')",0.6842105263157895,1
1790,895,0.8928571428571429,6,2,1,4,37,1,7,13,colplayer,"('safecoord', 'safecoord')",0.8928571428571429,1
1789,895,0.8823529411764706,37,7,1,13,6,1,2,4,rowplayer,"('safecoord', 'safecoord')",0.8823529411764706,1
1796,898,0.5882352941176471,8,10,14,3,21,32,22,6,colplayer,"('leader', 'leader')",0.4117647058823529,1
1795,898,0.8055555555555556,21,22,32,6,8,14,10,3,rowplayer,"('leader', 'leader')",0.8055555555555556,1
1808,904,0.085106383,1,6,27,4,9,28,24,14,colplayer,"('hero', 'hero')",0.9148936170212766,1
