model,layer,angle_decision_incentive_deg,null_median_deg,null_lo_deg,null_hi_deg,perm_p,below_null,row_scope,n_obs,n_games,n_perm,independent_shuffle_median_deg
llama31_instruct,80,29.972817572065455,65.02111521751848,31.1813171683074,116.3989783067574,0.0199004975124378,True,parsed_generated_choice,576,144,200,90.05081939697266
qwen,1,70.24690325853088,55.21978942136181,40.51348932710608,69.29360561274785,0.9800995024875622,False,parsed_generated_choice,576,144,200,
qwen,2,63.41672699925727,55.49750056867413,47.621533321417076,62.2333698707751,0.9900497512437813,False,parsed_generated_choice,576,144,200,
qwen,3,65.78759074864816,54.77709221860505,48.8720430345372,61.171266789756345,1.0,False,parsed_generated_choice,576,144,200,
qwen,4,69.3116592744675,55.01270805952182,50.178127299777245,61.48506263932658,1.0,False,parsed_generated_choice,576,144,200,
qwen,5,68.69708621560686,55.41748934746439,49.17712393952865,60.73018276694682,1.0,False,parsed_generated_choice,576,144,200,
qwen,6,66.29567601865905,55.44722191784916,50.52893437903221,60.28554990918405,1.0,False,parsed_generated_choice,576,144,200,
qwen,7,64.0917467888065,54.82342762829525,50.446194904623354,59.28979022572753,1.0,False,parsed_generated_choice,576,144,200,
qwen,8,65.17813854314659,55.230237897542054,50.93105650829002,60.594007299120854,1.0,False,parsed_generated_choice,576,144,200,
qwen,9,61.24478093683424,54.767917949651576,50.91509230606607,58.35482544878685,0.9950248756218906,False,parsed_generated_choice,576,144,200,
qwen,10,60.479265658411315,54.753761671567126,49.897877163732765,59.3293341175354,0.9900497512437813,False,parsed_generated_choice,576,144,200,
qwen,11,60.06337616750603,54.78799490544735,50.393893545862696,58.88076467092631,0.9850746268656716,False,parsed_generated_choice,576,144,200,
qwen,12,59.68318338219024,54.548432079174184,50.743737903420325,58.52314009286146,0.9900497512437813,False,parsed_generated_choice,576,144,200,
qwen,13,59.04341209105848,54.94429461366552,50.45804915423141,59.36850897920919,0.9601990049751244,False,parsed_generated_choice,576,144,200,
qwen,14,58.59196845484998,54.821364744797705,51.558947809555576,58.727096612956025,0.965174129353234,False,parsed_generated_choice,576,144,200,
qwen,15,58.125549746913315,54.70444734490613,50.09020084801975,59.0766296281496,0.945273631840796,False,parsed_generated_choice,576,144,200,
qwen,16,57.612768053656374,54.751882180328295,51.239722881545,59.22542190666905,0.9402985074626866,False,parsed_generated_choice,576,144,200,
qwen,17,56.57811509918496,54.42613981936794,50.3008038673314,59.352585602505535,0.845771144278607,False,parsed_generated_choice,576,144,200,
qwen,18,57.04192271341781,54.61752990525271,51.233656445515265,58.70564100000733,0.8905472636815921,False,parsed_generated_choice,576,144,200,
qwen,19,56.17201367336223,54.50388600602102,50.916927600230714,59.4910871638346,0.8059701492537313,False,parsed_generated_choice,576,144,200,
