model,layer,depth_frac,angle_deg,null_lo,null_med,null_hi,perm_p,sig,gain_r,dec_cohen_d,belief,row_scope,n_obs,n_games
gptoss,20,0.5555555555555556,74.46294837031526,33.5364451275721,66.19715180689155,105.50527133030094,0.6517412935323383,False,0.14867208072751775,0.7425518759940252,uniform,pure_commitment,525,144
gptoss,21,0.5833333333333334,78.92760909828519,33.07074864253742,62.090814436275934,113.18081074461453,0.7263681592039801,False,0.09364550834325136,0.644252123738523,uniform,pure_commitment,525,144
gptoss,22,0.6111111111111112,80.59411389188779,32.920005778732914,62.62979733147145,114.52291771818808,0.7761194029850746,False,0.0735992596975156,0.5936652707722908,uniform,pure_commitment,525,144
gptoss,23,0.6388888888888888,89.84222023377247,27.318665631149425,60.61309864014989,115.60653930514607,0.8606965174129353,False,0.0009969082175168855,0.454168233546773,uniform,pure_commitment,525,144
gptoss,24,0.6666666666666666,88.55207191964543,30.816197031281614,66.68993394977868,113.6312643152381,0.7761194029850746,False,0.007775300061090472,0.46134466700547144,uniform,pure_commitment,525,144
gptoss,25,0.6944444444444444,89.73065547298117,30.602939612318256,59.82869313591091,114.83646367466336,0.8308457711442786,False,0.0014748773685988423,0.4792236257895377,uniform,pure_commitment,525,144
gptoss,26,0.7222222222222222,89.99419703126524,29.308160274473057,62.76802905339943,117.9153319138824,0.8258706467661692,False,3.0123456467466137e-05,0.4578121216369646,uniform,pure_commitment,525,144
gptoss,27,0.75,92.68831910377595,26.600927027593062,66.16946780757343,118.73865000453932,0.8208955223880597,False,-0.012895183028980779,0.4489927133700956,uniform,pure_commitment,525,144
gptoss,28,0.7777777777777778,89.80146584345096,29.56208024496576,66.44745451463326,117.62326280218151,0.8159203980099502,False,0.0008287736248843443,0.4388942551138072,uniform,pure_commitment,525,144
gptoss,29,0.8055555555555556,91.11244265066956,26.92144724913508,65.45629081679502,122.12502242188233,0.8109452736318408,False,-0.004704500486048836,0.4343785889301691,uniform,pure_commitment,525,144
gptoss,30,0.8333333333333334,89.43095191945397,28.971059788908057,63.104574165106456,118.41707969299566,0.835820895522388,False,0.0022699209150813617,0.43291261899858935,uniform,pure_commitment,525,144
gptoss,31,0.8611111111111112,93.714028499627,28.06195920017287,65.00448720716227,119.9160511460198,0.8308457711442786,False,-0.01489336356037212,0.42247066258518184,uniform,pure_commitment,525,144
gptoss,32,0.8888888888888888,86.87331647186213,31.667097984188203,62.953202846470234,117.86358722987246,0.7761194029850746,False,0.012554392297263425,0.45029700678032514,uniform,pure_commitment,525,144
gptoss,33,0.9166666666666666,88.72929136187378,30.978481463207494,65.49414552607281,123.0656667229189,0.8009950248756219,False,0.0050853376017831395,0.4380233181072725,uniform,pure_commitment,525,144
gptoss,34,0.9444444444444444,88.41299788630195,28.61947138882737,64.25113565610098,119.54737385336027,0.8059701492537313,False,0.006473773041441246,0.44141984563505593,uniform,pure_commitment,525,144
gptoss,35,0.9722222222222222,89.20625617419785,28.642730700237518,69.46324885640804,114.271764166248,0.746268656716418,False,0.0032619816494205336,0.43134979919406957,uniform,pure_commitment,525,144
gptoss,36,1.0,85.83621415059281,29.414273816168194,70.60970099527631,117.76268446970904,0.736318407960199,False,0.013971713709537705,0.4101200385519531,uniform,pure_commitment,525,144
gptoss,1,0.027777777777777776,111.7144961246524,22.645436057858348,67.3422912993776,147.26473005304098,0.8407960199004975,False,-0.05766345986403852,0.5280062222319639,uniform,pure_complete_games,432,108
gptoss,2,0.05555555555555555,106.04419187175506,24.742642446634182,70.35964155749413,130.64408228424918,0.8407960199004975,False,-0.059476130616455354,0.49863954921873954,uniform,pure_complete_games,432,108
gptoss,3,0.08333333333333333,101.44122479397964,27.030668114690204,69.58907055490764,137.4104536267108,0.8009950248756219,False,-0.05332840718063032,0.5052014297435407,uniform,pure_complete_games,432,108
gptoss,4,0.1111111111111111,96.63077992959634,29.35683055370655,75.66398384561954,133.99634930109164,0.7263681592039801,False,-0.032726766988428184,0.5873166648741603,uniform,pure_complete_games,432,108
gptoss,5,0.1388888888888889,101.56308772282146,26.14049591032734,73.43248989005684,129.45954982989377,0.746268656716418,False,-0.04534179390162275,0.5084666638816572,uniform,pure_complete_games,432,108
gptoss,6,0.16666666666666666,99.07568077425559,28.68051826646093,71.84916229862044,130.87807106567922,0.8009950248756219,False,-0.03854805744294018,0.5331449438860321,uniform,pure_complete_games,432,108
