period,model,cue,n_games,n_moved_real,mean_abs_real,mean_abs_real_lo,mean_abs_real_hi,mean_signed_target_real,mean_signed_target_real_lo,mean_signed_target_real_hi,frac_toward_real,frac_toward_real_nonzero,directional_efficiency_real,n_moved_pref,mean_abs_pref,mean_abs_pref_lo,mean_abs_pref_hi,mean_signed_target_pref,mean_signed_target_pref_lo,mean_signed_target_pref_hi,frac_toward_pref,frac_toward_pref_nonzero,directional_efficiency_pref
round1,qwen_instruct,level2,35,5,0.08571428571428572,0.019047619047619046,0.1714285714285714,-0.06666666666666665,-0.1523809523809524,0.0,0.02857142857142857,0.2,-0.7777777777777776,35,0.08918543663854249,0.049388870479094044,0.13630787728828753,-0.02280697993927318,-0.07822491448097463,0.02631498968978322,0.6285714285714286,0.6285714285714286,-0.25572538296478875
round1,qwen_instruct,loss,76,26,0.15789473684210528,0.10526315789473684,0.21929824561403505,-0.09649122807017546,-0.16228070175438597,-0.03070175438596492,0.06578947368421052,0.19230769230769232,-0.6111111111111112,76,0.15109206606085016,0.11639511786779601,0.18831294686080127,-0.08035527429119975,-0.12751674272112065,-0.03593391307301397,0.3684210526315789,0.3684210526315789,-0.5318298729123064
round1,qwen_instruct,maximin,76,13,0.09210526315789473,0.043859649122807015,0.14473684210526316,-0.004385964912280706,-0.061403508771929814,0.048245614035087724,0.07894736842105263,0.46153846153846156,-0.047619047619047665,76,0.08694599262060794,0.061512445157277544,0.11800462736647054,0.046785519161378054,0.01542229236169701,0.07967450943882558,0.8289473684210527,0.8289473684210527,0.5380986259542565
round1,qwen_instruct,risk,76,21,0.1754385964912281,0.10526315789473684,0.25000000000000006,-0.09649122807017543,-0.17982456140350878,-0.017543859649122816,0.07894736842105263,0.2857142857142857,-0.5499999999999999,76,0.16838297447753395,0.12379515744732397,0.2173135553373639,-0.052566029408792146,-0.11197182179061016,0.003649060111021209,0.5921052631578947,0.5921052631578947,-0.3121813804031929
round1,qwen_instruct,selfish,67,58,0.45273631840796025,0.39303482587064675,0.5124378109452736,-0.373134328358209,-0.4577114427860697,-0.2885572139303482,0.07462686567164178,0.08620689655172414,-0.8241758241758241,67,0.3636479464231693,0.32299691623395504,0.4061322412454499,-0.3135087009308825,-0.3722179788007199,-0.25076197435702646,0.08955223880597014,0.08955223880597014,-0.8621214666947663
round10,gptoss,inequity,30,9,0.11111111111111113,0.05555555555555555,0.17777777777777778,0.022222222222222223,-0.044444444444444446,0.1,0.16666666666666666,0.5555555555555556,0.19999999999999996,30,0.06173877446325194,0.037913346478081034,0.09131717711844647,-0.003325153216565104,-0.03904148395234301,0.0326500814868099,0.5,0.5,-0.05385842601304463
round10,gptoss,level1,67,21,0.12437810945273632,0.07960199004975124,0.17412935323383083,0.02487562189054727,-0.03482587064676616,0.07960199004975124,0.19402985074626866,0.6190476190476191,0.20000000000000004,67,0.07394316678222584,0.055454495963800435,0.09450269245146103,0.013277984688197955,-0.013653225981812261,0.03987028504329616,0.4925373134328358,0.4925373134328358,0.17957013833751115
round10,gptoss,level2,35,12,0.11428571428571428,0.06666666666666667,0.162142857142858,0.01904761904761905,-0.04761904761904762,0.08571428571428572,0.2,0.5833333333333334,0.16666666666666669,35,0.09954842665236953,0.061964594518923215,0.1399625577041943,0.02365436855425746,-0.02672874065882496,0.07388858283076329,0.6,0.6,0.2376166992257976
round10,gptoss,loss,76,20,0.09210526315789473,0.05701754385964912,0.12719298245614036,0.0043859649122807015,-0.03508771929824562,0.04385964912280702,0.14473684210526316,0.55,0.047619047619047616,76,0.07541457846723958,0.05835559785342419,0.09358917976112124,0.0020320261757530954,-0.023146371669961648,0.02560289388474499,0.5394736842105263,0.5394736842105263,0.026944739559020627
round10,gptoss,maximin,76,21,0.10087719298245615,0.06578947368421051,0.14035087719298245,-0.013157894736842105,-0.057017543859649134,0.030701754385964914,0.13157894736842105,0.47619047619047616,-0.13043478260869562,76,0.05770936549344462,0.043098610095671,0.0732664597970812,0.004833207730191128,-0.014626692944750505,0.02470076842123617,0.5394736842105263,0.5394736842105263,0.08375083816750935
round10,gptoss,risk,76,18,0.08333333333333333,0.048245614035087724,0.11842105263157897,0.030701754385964907,-0.008771929824561405,0.07017543859649124,0.15789473684210525,0.6666666666666666,0.3684210526315789,76,0.06486599045985972,0.04889858668248966,0.08313561543195157,0.023807313893569132,0.0013346813949989002,0.04638179685137328,0.6052631578947368,0.6052631578947368,0.36702305360312876
round10,gptoss,selfish,67,25,0.13930348258706468,0.0945273631840796,0.18407960199004977,0.029850746268656705,-0.02985074626865671,0.0845771144278607,0.23880597014925373,0.64,0.2142857142857142,67,0.06773207764697899,0.05096940291353458,0.08583030679095734,0.0019795494240610317,-0.0226233269299836,0.025327910834672607,0.5373134328358209,0.5373134328358209,0.0292261730753113
round10,llama31_instruct,inequity,30,20,0.25555555555555554,0.17777777777777776,0.3333333333333333,0.07777777777777778,-0.03333333333333335,0.18888888888888894,0.4,0.6,0.30434782608695654,30,0.07765494585537033,0.060255313041138285,0.09570110040648122,0.028390727179141317,-0.0037525827186471105,0.058720869936691865,0.6,0.6,0.36560101699147496
round10,llama31_instruct,level1,67,35,0.21393034825870647,0.1592039800995025,0.2736318407960199,-0.04477611940298507,-0.11940298507462686,0.029850746268656716,0.23880597014925373,0.45714285714285713,-0.20930232558139533,67,0.06291056754712872,0.05199192738068361,0.07501259282635238,-0.006416520364037374,-0.025981748120462587,0.012299864540048229,0.417910447761194,0.417910447761194,-0.10199431692029344
round10,llama31_instruct,level2,35,32,0.4380952380952381,0.37119047619047624,0.5047619047619047,-0.0761904761904762,-0.22857142857142856,0.08571428571428573,0.4,0.4375,-0.1739130434782609,35,0.1423236791737866,0.11979888088567174,0.1660226841277215,-0.009634375718276583,-0.060296681658104416,0.0426052337181143,0.4857142857142857,0.4857142857142857,-0.06769341387326261
round10,llama31_instruct,loss,76,36,0.16666666666666669,0.12719298245614036,0.21052631578947367,0.026315789473684216,-0.030701754385964914,0.08333333333333331,0.27631578947368424,0.5833333333333334,0.15789473684210528,76,0.05266230654569956,0.04347540149973637,0.06245835942546629,0.010217555453382656,-0.004753747335410317,0.025470601298197882,0.5921052631578947,0.5921052631578947,0.19402027984695305
round10,llama31_instruct,maximin,76,37,0.1710526315789474,0.13157894736842107,0.21491228070175436,0.03070175438596492,-0.02631578947368421,0.08771929824561403,0.2894736842105263,0.5945945945945946,0.17948717948717952,76,0.056978250633970835,0.04865512466807772,0.06617126530296377,0.01627262304977795,0.0013089952390911385,0.03145927946419241,0.6710526315789473,0.6710526315789473,0.2855935882327018
round10,llama31_instruct,risk,76,63,0.3991228070175438,0.34649122807017546,0.4517543859649124,0.021929824561403518,-0.07905701754385963,0.12719298245614036,0.4342105263157895,0.5238095238095238,0.05494505494505497,76,0.12468570628184303,0.10518072349292354,0.14419091077195395,-0.005872870272111587,-0.03906175256690648,0.02876414103881369,0.4868421052631579,0.4868421052631579,-0.04710139154873445
round10,llama31_instruct,selfish,67,63,0.472636815920398,0.4228855721393035,0.5223880597014924,0.004975124378109459,-0.11442786069651742,0.12437810945273635,0.4626865671641791,0.49206349206349204,0.010526315789473696,67,0.1654745812638438,0.14884580095021444,0.18198559224757568,0.01009747911870897,-0.03183241027696481,0.05305116411111539,0.5074626865671642,0.5074626865671642,0.06102133053661499
