model,round,cue,game,class,target_action,base_pref_target,cue_pref_target,shift_pref,base_real_target,cue_real_target,shift_real
gptoss,1,level2,NcHr,OD1,0,0.8597770752954671,0.8382634999464349,-0.0215135753490322,0.3333333333333333,0.3333333333333333,0.0
gptoss,1,level2,NcNc,DD,0,0.5408093777209871,0.5969471612046225,0.056137783483635406,0.3333333333333333,0.0,-0.3333333333333333
gptoss,1,level2,NcPd,DD,0,0.6734562393716885,0.6972051798781517,0.023748940506463145,0.3333333333333333,0.3333333333333333,0.0
gptoss,1,level2,PcCo,OD1,0,0.552642660664232,0.5426924892975109,-0.00995017136672105,0.3333333333333333,0.3333333333333333,0.0
gptoss,1,level2,PcHr,OD1,0,0.3884025750709306,0.2805049084982961,-0.1078976665726345,0.0,0.0,0.0
gptoss,1,level2,PcNc,DD,0,0.9276800653758636,0.9296336665574684,0.0019536011816048138,0.6666666666666666,0.6666666666666666,0.0
gptoss,1,level2,PcPc,DD,0,0.35263798845679667,0.37475649321793353,0.02211850476113686,0.3333333333333333,0.3333333333333333,0.0
gptoss,1,level2,PcPd,DD,0,0.6633800479314675,0.6964172979934656,0.03303725006199809,0.6666666666666666,0.6666666666666666,0.0
gptoss,1,level2,PdCo,OD2,1,0.5811018246754318,0.5403659686305693,-0.04073585604486252,0.33333333333333337,0.6666666666666667,0.33333333333333337
gptoss,1,level2,PdHr,OD2,1,0.4943530458848957,0.4910805053248425,-0.0032725405600532165,0.6666666666666667,0.6666666666666667,0.0
gptoss,1,maximin,AsAs,CO1,1,0.45892302609257396,0.7942927765753569,0.33536975048278295,0.6666666666666667,0.33333333333333337,-0.33333333333333337
gptoss,1,maximin,AsBa,MP,1,0.6342892377514122,0.8790102616686389,0.24472102391722672,0.33333333333333337,1.0,0.6666666666666666
gptoss,1,maximin,BaBa,CO2,0,0.45166939632763164,0.4608557268977369,0.009186330570105261,0.6666666666666666,1.0,0.33333333333333337
gptoss,1,maximin,ChAs,MP,0,0.6395932138777797,0.9855286215724783,0.34593540769469866,0.3333333333333333,0.6666666666666666,0.3333333333333333
gptoss,1,maximin,ChBa,CO2,0,0.4613058204897702,0.557201302912119,0.0958954824223488,0.3333333333333333,0.3333333333333333,0.0
gptoss,1,maximin,CmAs,OD1,1,0.330041069872124,0.6878505790825631,0.3578095092104391,0.6666666666666667,1.0,0.33333333333333326
gptoss,1,maximin,CmBa,OD1,1,0.2718353442329119,0.5844127370433958,0.3125773928104839,0.6666666666666667,0.6666666666666667,0.0
gptoss,1,maximin,CmCh,OD1,1,0.6722028325230667,0.9582275951112115,0.2860247625881448,0.6666666666666667,0.33333333333333337,-0.33333333333333337
gptoss,1,maximin,CmCm,DD,1,0.7725526973682492,0.9999999999999463,0.2274473026316971,0.6666666666666667,0.6666666666666667,0.0
gptoss,1,maximin,CmCo,OD2,1,0.3959136021469777,0.6389347041610824,0.24302110201410476,0.33333333333333337,0.33333333333333337,0.0
gptoss,1,maximin,CmHr,OD2,1,0.3331232071195941,0.33521915334479846,0.0020959462252043704,0.6666666666666667,0.6666666666666667,0.0
gptoss,1,maximin,CmNc,DD,1,0.37827800251120636,0.7503042599728605,0.3720262574616542,0.33333333333333337,0.6666666666666667,0.33333333333333337
gptoss,1,maximin,CmPc,DD,1,0.7193374105698607,0.7732630278696074,0.053925617299746764,0.6666666666666667,0.6666666666666667,0.0
gptoss,1,maximin,CmPd,DD,1,0.41795689138949577,0.3786254719165517,-0.03933141947294405,1.0,1.0,0.0
gptoss,1,maximin,CmSh,OD1,1,0.27024856302025946,0.6694171125813511,0.3991685495610916,0.6666666666666667,0.6666666666666667,0.0
