model,round,trait,family,n_games,magnitude,magnitude_lo,magnitude_hi,magnitude_null,flip_rate,flip_rate_aligned,dir_shift,dir_lo,dir_hi,dir_net,dir_net_lo,dir_net_hi,directionality_index,base_pref_mean,dose_slope,dose_slope_lo,dose_slope_hi,dose_r,dose_slope_null,n_movable,dir_net_movable,dir_net_movable_lo,dir_net_movable_hi,dose_slope_movable,dose_slope_movable_lo,dose_slope_movable_hi
gptoss,10,loss,trait,76,0.09210526315789473,0.05701754385964912,0.13157894736842105,0.17543859649122806,0.10964912280701754,0.52,0.0043859649122807015,-0.03508771929824562,0.043969298245614435,-0.08333333333333333,-0.13157894736842105,-0.035087719298245605,0.047619047619047616,0.4912280701754385,-0.001001131714111599,-0.02767667893023666,0.02673149674615458,-0.008954524192262243,0.049011926525637656,62,-0.08064516129032256,-0.13440860215053763,-0.02688172043010753,0.003211303789338471,-0.018381689350906436,0.025395021847152307
gptoss,10,maximin,rule,76,0.10087719298245615,0.06578947368421051,0.14035087719298248,0.17543859649122806,0.10087719298245613,0.43478260869565216,-0.013157894736842105,-0.061403508771929814,0.030701754385964914,-0.10087719298245613,-0.16666666666666666,-0.039473684210526314,-0.13043478260869562,0.4912280701754385,-0.010664229128580128,-0.041212573508449576,0.017598932170648438,-0.08846733129492901,0.049011926525637656,62,-0.09677419354838711,-0.16129032258064516,-0.03763440860215053,-0.00615218199641686,-0.029343095218408735,0.01812906244211172
gptoss,10,risk,trait,76,0.08333333333333333,0.05263157894736842,0.11842105263157894,0.17543859649122806,0.09210526315789473,0.6666666666666666,0.030701754385964907,-0.008771929824561405,0.07017543859649122,-0.05701754385964912,-0.11403508771929824,-0.004385964912280702,0.3684210526315789,0.4912280701754385,0.016671019413249763,-0.009430628061341578,0.04508819872944667,0.15498003231005691,0.049011926525637656,62,-0.053763440860215055,-0.1075268817204301,-1.7906822977825105e-18,0.019605854713855914,-0.0023434759889274016,0.04277545706468079
gptoss,10,selfish,trait,67,0.13930348258706468,0.0945273631840796,0.1890547263681592,0.18407960199004977,0.13930348258706468,0.6071428571428571,0.029850746268656705,-0.024875621890547265,0.0845771144278607,-0.05472636815920399,-0.12437810945273632,0.014925373134328351,0.2142857142857142,0.472636815920398,0.01052468658102461,-0.024069644138247286,0.044235498138649396,0.07526621289467571,0.04563277098488366,55,-0.030303030303030307,-0.103030303030303,0.04242424242424242,0.024890481879729195,-0.006250258386487122,0.05625109588409009
llama31_instruct,1,inequity,trait,30,0.2111111111111111,0.14444444444444443,0.27777777777777773,0.16666666666666666,0.2111111111111111,0.5789473684210527,0.03333333333333333,-0.06666666666666668,0.13333333333333333,-0.044444444444444446,-0.11111111111111113,0.03333333333333333,0.15789473684210525,0.34444444444444444,-0.03086419753086424,-0.0829759922840574,0.03584387857414512,-0.16563466499998444,0.007716049382716068,5,0.0,-0.2,0.2,0.027777777777777773,-0.125,0.16666666666666669
llama31_instruct,1,level1,rule,67,0.16417910447761197,0.12437810945273632,0.2039800995024876,0.18407960199004977,0.18407960199004975,0.5135135135135135,0.0049751243781094535,-0.04975124378109454,0.05970149253731343,-0.009950248756218907,-0.03980099502487563,0.019900497512437814,0.030303030303030304,0.4875621890547264,-0.0023990094412629647,-0.026399207099875796,0.021453318355489834,-0.02313998503218819,0.004204715472321109,11,0.0,0.0,0.0,0.010416666666666671,0.0,0.045333333333333316
llama31_instruct,1,level2,rule,35,0.27619047619047626,0.21904761904761902,0.34285714285714286,0.1904761904761905,0.3142857142857143,0.48484848484848486,-0.009523809523809528,-0.11428571428571431,0.10476190476190476,0.009523809523809521,-0.05714285714285714,0.0761904761904762,-0.03448275862068966,0.5238095238095238,0.009259259259259257,-0.022890681800313187,0.03913102130879163,0.10063456073742667,-3.439793559201874e-18,7,-0.04761904761904762,-0.14285714285714285,0.0,0.0,0.0,0.0
llama31_instruct,1,loss,trait,76,0.05701754385964912,0.030701754385964914,0.08771929824561404,0.17105263157894743,0.05701754385964912,0.46153846153846156,-0.004385964912280702,-0.03508771929824562,0.02631578947368421,-0.008771929824561405,-0.07017543859649122,0.04824561403508773,-0.07692307692307694,0.4780701754385966,-0.001610516235744748,-0.019090894365009943,0.016331296008589628,-0.02089378348800508,-0.0015234613040829039,13,-0.05128205128205129,-0.2307692307692308,0.12820512820512822,3.808033558317023e-17,-6.294372906377364e-17,6.294372906377364e-17
llama31_instruct,1,maximin,rule,76,0.12280701754385968,0.08771929824561403,0.1578947368421053,0.17105263157894743,0.13157894736842105,0.5333333333333333,0.008771929824561403,-0.039473684210526314,0.05263157894736842,0.004385964912280699,-0.039473684210526314,0.04385964912280702,0.07142857142857141,0.4780701754385966,0.003482197266475133,-0.020680028009090173,0.02788347918029173,0.03281719407178027,-0.0015234613040829039,13,-0.025641025641025644,-0.07692307692307693,0.0,-0.006849315068493154,-0.0474538213862057,0.03666666666666668
llama31_instruct,1,risk,trait,76,0.324561403508772,0.26315789473684215,0.38596491228070184,0.17105263157894743,0.3508771929824561,0.5375,0.02631578947368421,-0.06578947368421055,0.12280701754385963,0.021929824561403508,-0.04824561403508774,0.09649122807017542,0.08108108108108106,0.4780701754385966,0.005484460694698314,-0.03312736500209014,0.04396217237500673,0.03127122782852895,-0.0015234613040829039,13,-8.540177112501205e-18,-0.10256410256410257,0.10256410256410256,0.0182648401826484,-0.02707275803722505,0.06286092730180848
