model,cue,game_class,n_games,n_moved_real,mean_abs_real,mean_abs_real_lo,mean_abs_real_hi,mean_signed_target_real,mean_signed_target_real_lo,mean_signed_target_real_hi,frac_toward_real_nonzero,directional_efficiency_real
qwen_instruct,maximin,MP,9,3,0.18888888888888886,0.0,0.44814814814814813,0.18148148148148147,-0.0074074074074074,0.4074074074074074,0.6666666666666666,0.9607843137254902
qwen_instruct,maximin,OD1,18,4,0.08703703703703702,0.011111111111111112,0.18518518518518515,0.08703703703703702,0.011111111111111112,0.18148148148148144,1.0,1.0
qwen_instruct,maximin,OD2,18,3,0.07407407407407408,0.0,0.16296296296296295,-0.02962962962962964,-0.11111111111111113,0.04444444444444443,0.3333333333333333,-0.4000000000000001
qwen_instruct,risk,CO1,6,2,0.15,0.0,0.33888888888888885,-0.03888888888888889,-0.2833333333333333,0.16666666666666666,0.5,-0.2592592592592593
qwen_instruct,risk,CO2,5,3,0.1933333333333333,0.06,0.32666666666666666,-0.07333333333333333,-0.26666666666666666,0.12,0.3333333333333333,-0.3793103448275863
qwen_instruct,risk,DD,20,8,0.13499999999999998,0.04666666666666667,0.24166666666666664,-0.10499999999999998,-0.223375,-0.008291666666666508,0.125,-0.7777777777777778
qwen_instruct,risk,MP,9,4,0.2518518518518518,0.05185185185185185,0.49268518518518556,0.0740740740740741,-0.17777777777777776,0.3592592592592593,0.5,0.29411764705882365
qwen_instruct,risk,OD1,18,5,0.10925925925925924,0.024074074074074067,0.22037037037037036,-0.07222222222222222,-0.19259259259259254,0.018564814814814982,0.2,-0.6610169491525425
qwen_instruct,risk,OD2,18,8,0.1425925925925926,0.057361111111111106,0.2444444444444444,-0.1425925925925926,-0.24814814814814815,-0.0574074074074074,0.0,-1.0
qwen_instruct,selfish,CO1,3,3,0.3444444444444444,0.0333333333333333,0.6666666666666666,-0.3222222222222222,-0.6666666666666666,0.0333333333333333,0.3333333333333333,-0.935483870967742
qwen_instruct,selfish,CO2,3,2,0.2222222222222222,0.0,0.3333333333333333,-0.2222222222222222,-0.3333333333333333,0.0,0.0,-1.0
qwen_instruct,selfish,DD,20,17,0.43999999999999995,0.3133333333333333,0.5699999999999998,-0.41999999999999993,-0.5600833333333333,-0.2833333333333333,0.058823529411764705,-0.9545454545454545
qwen_instruct,selfish,MP,5,5,0.3533333333333333,0.2933333333333333,0.4333333333333333,-0.08666666666666666,-0.3866666666666666,0.21333333333333332,0.4,-0.24528301886792453
qwen_instruct,selfish,OD1,18,17,0.4462962962962963,0.34625,0.5388888888888889,-0.27222222222222225,-0.44999999999999996,-0.0703240740740739,0.17647058823529413,-0.6099585062240664
qwen_instruct,selfish,OD2,18,16,0.49259259259259264,0.3722222222222223,0.6111111111111112,-0.4185185185185185,-0.5666666666666668,-0.22407407407407412,0.0625,-0.8496240601503758
