model,mode,layer,variant,game_code,family,delta1_c,slope_letter,range_letter,slope_canon,range_canon,slope_beh,range_beh,beh_flip
qwen,h1_dinc,65,main_perp,ChHr,CO1,1.0,1.0206500000000003,0.5015999999999999,-0.031083333333333376,0.044625000000000026,-0.24999999999999972,0.5,1
qwen,h1_dinc,65,main_perp,CmAs,OD1,2.0,0.9743333333333332,0.48300000000000004,0.08036666666666664,0.08147499999999999,0.16666666666666657,0.5,1
qwen,h1_dinc,65,main_perp,CmCm,DD,1.0,0.9638749999999998,0.47877499999999995,0.06672499999999996,0.07975000000000002,0.0,0.5,1
qwen,h1_dinc,65,main_perp,CmDl,DD,1.0,0.9650166666666665,0.48660000000000003,0.09860000000000001,0.09115000000000001,0.16666666666666657,0.5,1
qwen,h1_dinc,65,main_perp,CmHa,DD,3.0,0.9576416666666664,0.47732499999999994,0.09474166666666668,0.08662500000000004,0.5833333333333331,0.5,1
qwen,h1_dinc,65,main_perp,CmNc,DD,2.5,0.9746499999999999,0.48477499999999996,0.07001666666666673,0.08365000000000003,0.16666666666666657,0.5,1
qwen,h1_dinc,65,main_perp,CoAs,CO2,1.0,0.9468333333333331,0.47434999999999994,0.08753333333333331,0.04352500000000001,0.5,0.5,1
qwen,h1_dinc,65,main_perp,CoCo,CO1,1.0,0.99875,0.501275,0.05350000000000003,0.038050000000000014,0.5,0.5,1
qwen,h1_dinc,65,main_perp,CoSh,CO2,1.0,0.9789583333333333,0.487325,0.06920833333333336,0.04955,0.5,0.5,1
qwen,h1_dinc,65,main_perp,HaAs,OD2,2.0,0.9607916666666665,0.47944999999999993,0.10305833333333332,0.08209999999999998,0.33333333333333315,0.5,1
qwen,h1_dinc,65,main_perp,HaBa,OD2,2.0,0.9902666666666662,0.49172499999999997,0.06188333333333331,0.072375,-2.8665835232995054e-16,0.5,1
qwen,h1_dinc,65,main_perp,HaCm,DD,2.0,1.0273916666666667,0.5053,0.013241666666666653,0.04600000000000001,0.16666666666666657,0.5,1
qwen,h1_dinc,65,main_perp,HaDl,DD,2.0,0.9929416666666666,0.48882500000000007,0.054208333333333275,0.06290000000000004,0.08333333333333286,0.5,1
qwen,h1_dinc,65,main_perp,HaHa,DD,2.0,1.0118416666666665,0.5015000000000001,0.09609166666666667,0.0837,0.16666666666666657,0.5,1
qwen,h1_dinc,65,main_perp,HaNc,DD,2.0,0.999,0.4991,0.09341666666666665,0.087975,0.0,0.5,1
qwen,h1_dinc,65,main_perp,HaPc,DD,2.0,0.9605166666666667,0.478175,0.08783333333333324,0.06797499999999997,0.33333333333333315,0.5,1
qwen,h1_dinc,65,main_perp,HrAs,MP,1.0,1.045783333333333,0.51035,0.05330000000000004,0.05075000000000002,0.1666666666666663,0.25,1
qwen,h1_dinc,65,main_perp,HrBa,CO1,-1.0,1.0207833333333332,0.502375,0.032500000000000084,0.06507500000000002,0.08333333333333286,0.5,1
qwen,h1_dinc,65,main_perp,HrCh,CO1,-1.0,1.0245,0.511575,0.06461666666666664,0.06674999999999998,0.24999999999999972,0.5,1
qwen,h1_dinc,65,main_perp,HrHr,CO2,-1.0,1.0373166666666664,0.512175,0.05469999999999994,0.072275,0.08333333333333286,0.5,1
qwen,h1_dinc,65,main_perp,ShAs,CO1,0.0,1.0148416666666664,0.5029250000000001,-0.027375000000000028,0.022050000000000028,0.16666666666666669,0.25,1
qwen,h1_dinc,65,main_perp,ShCo,CO2,1.0,0.9668166666666664,0.475525,-0.022316666666666624,0.021775000000000003,0.0,0.0,1
qwen,h1_dinc,65,main_perp,ShSh,CO1,0.0,1.0342166666666663,0.5075,-0.0351499999999999,0.02277499999999999,-0.16666666666666669,0.25,1
qwen,h1_dinc,65,random,AsAs,CO1,0.0,0.0022416666666666644,0.015549999999999994,-0.01882500000000002,0.023874999999999993,0.0,0.0,0
qwen,h1_dinc,65,random,AsBa,MP,-0.0,0.0005333333333333665,0.015849999999999975,0.03133333333333333,0.015600000000000003,0.0,0.0,1
qwen,h1_dinc,65,random,AsCh,MP,1.0,0.03211666666666666,0.016149999999999998,0.03646666666666664,0.02315000000000003,-0.41666666666666663,0.25,1
qwen,h1_dinc,65,random,AsCm,OD1,2.0,0.011108333333333324,0.0076999999999999985,-0.0007750000000000715,0.015524999999999983,0.5833333333333334,0.25,1
qwen,h1_dinc,65,random,AsCo,CO2,1.0,-0.0031083333333333423,0.014499999999999999,-0.018458333333333334,0.015825000000000006,0.0,0.0,0
qwen,h1_dinc,65,random,AsDl,OD1,2.0,0.01051666666666666,0.008025000000000004,-0.009849999999999932,0.02345,0.08333333333333334,0.25,1
qwen,h1_dinc,65,random,AsHa,OD2,2.0,-7.499999999997678e-05,0.023575000000000013,0.009891666666666661,0.007674999999999987,0.0,0.0,0
qwen,h1_dinc,65,random,AsHr,MP,2.0,0.011533333333333298,0.01572499999999999,0.005616666666666639,0.016249999999999987,0.4166666666666666,0.25,1
qwen,h1_dinc,65,random,AsNc,OD2,0.0,0.01900833333333333,0.016174999999999995,-0.03295833333333328,0.023325000000000012,0.0,0.0,0
qwen,h1_dinc,65,random,AsPc,OD2,2.0,-0.013566666666666652,0.00739999999999999,0.013649999999999978,0.008150000000000018,0.0,0.0,0
qwen,h1_dinc,65,random,AsPd,OD1,2.0,0.0022166666666666906,0.016075000000000006,0.023133333333333266,0.01504999999999998,-0.5,0.25,1
qwen,h1_dinc,65,random,AsSh,CO1,0.0,-0.002516666666666651,0.01525,-0.017433333333333346,0.01547500000000003,0.0,0.0,0
qwen,h1_dinc,65,random,BaAs,MP,-1.0,-0.02313333333333333,0.015625,-0.0027166666666666684,0.008424999999999988,-0.08333333333333334,0.25,1
qwen,h1_dinc,65,random,BaBa,CO2,1.0,0.05087499999999997,0.030524999999999997,0.017508333333333344,0.016775000000000012,0.41666666666666663,0.25,1
qwen,h1_dinc,65,random,BaCh,CO2,1.0,0.0072333333333333034,0.015800000000000022,0.010483333333333332,0.031500000000000014,0.0,0.0,1
qwen,h1_dinc,65,random,BaCm,OD1,2.0,0.0032500000000000207,0.015200000000000005,0.02851666666666668,0.015799999999999995,0.41666666666666674,0.25,1
qwen,h1_dinc,65,random,BaCo,MP,-1.0,0.0038416666666666603,0.015574999999999992,0.006758333333333344,0.030324999999999963,0.0,0.0,1
qwen,h1_dinc,65,random,BaDl,OD1,2.0,0.004891666666666654,0.00789999999999999,-0.05729166666666666,0.030875,-0.5833333333333333,0.25,1
