model,mode,layer,variant,component,mean_slope,ci_lo,ci_hi,n_games,pct_beh_flip
qwen_instruct,h2_choice,65,main_perp,beh,0.032407407407407406,-0.11728395061728393,0.18364197530864193,54,87.03703703703704
qwen_instruct,h2_choice,65,random,letter,0.0310712962962963,0.024999594907407406,0.03702570216049383,54,68.51851851851852
qwen_instruct,h2_choice,65,random,canon,0.005958641975308649,-0.004129841820987641,0.01621141975308643,54,68.51851851851852
qwen_instruct,h2_choice,65,random,beh,0.0030864197530864252,-0.04629629629629629,0.055555555555555566,54,68.51851851851852
qwen_instruct,h2_choice,79,main,letter,-0.8153259259259259,-0.8960328742283951,-0.731857175925926,54,98.14814814814815
qwen_instruct,h2_choice,79,main,canon,-0.04215493827160494,-0.13271509645061727,0.04967820216049396,54,98.14814814814815
qwen_instruct,h2_choice,79,main,beh,-0.009259259259259264,-0.1908436213991769,0.17079475308641978,54,98.14814814814815
qwen_instruct,h2_choice,79,main_perp,letter,0.000714197530864197,-0.0013218479938271607,0.002804263117283948,54,68.51851851851852
qwen_instruct,h2_choice,79,main_perp,canon,-0.0002098765432098743,-0.002031975308641982,0.0016785802469135934,54,68.51851851851852
qwen_instruct,h2_choice,79,main_perp,beh,-0.012345679012345675,-0.03240740740740739,0.0,54,68.51851851851852
qwen_instruct,h2_choice,79,random,letter,0.03680169753086419,0.03170735725308641,0.042064498456790125,54,68.51851851851852
qwen_instruct,h2_choice,79,random,canon,0.001555092592592594,-0.004183124999999996,0.0073111342592592585,54,68.51851851851852
qwen_instruct,h2_choice,79,random,beh,0.02006172839506173,-0.035493827160493825,0.07561728395061727,54,68.51851851851852
