model,game_code,p_canonical,inc_projection,delta1c_q05,n_cells,inc_projection_z,delta1c_q05_z,row_scope,layer
gptoss,PdPd,1.0,-59.546425024072796,1.0,4,-1.036121374049308,0.09166984970282117,pure_commitment,36
gptoss,PdSh,1.0,37.835845902578015,1.0,4,0.7792280658559657,0.09166984970282117,pure_commitment,36
gptoss,ShAs,1.0,-77.19683853329882,0.0,3,-1.3651511653365127,-1.0083683467310325,pure_commitment,36
gptoss,ShBa,1.0,-81.19887278390182,-0.0,3,-1.4397549979046196,-1.0083683467310325,pure_commitment,36
gptoss,ShCh,1.0,-64.38175640929326,-0.0,3,-1.1262590966387502,-1.0083683467310325,pure_commitment,36
gptoss,ShCm,1.0,31.334375759698762,-0.0,4,0.6580310546327789,-1.0083683467310325,pure_commitment,36
gptoss,ShCo,1.0,-78.94446207010651,0.0,3,-1.3977294506703875,-1.0083683467310325,pure_commitment,36
gptoss,ShDl,1.0,-33.24002938772433,-0.0,4,-0.5457312842521473,-1.0083683467310325,pure_commitment,36
gptoss,ShHa,1.0,-18.49263511145903,0.0,4,-0.2708180614988486,-1.0083683467310325,pure_commitment,36
gptoss,ShHr,1.0,-67.46228192258263,-0.0,3,-1.1836846445536875,-1.0083683467310325,pure_commitment,36
gptoss,ShNc,0.75,-8.60437687132335,0.0,4,-0.08648631520603928,-1.0083683467310325,pure_commitment,36
gptoss,ShPc,1.0,-75.07911753949006,0.0,1,-1.3256737164805292,-1.0083683467310325,pure_commitment,36
gptoss,ShPd,1.0,-59.02096550275756,-0.0,4,-1.026326032057017,-1.0083683467310325,pure_commitment,36
gptoss,ShSh,0.6666666666666666,-69.80297894878801,0.0,3,-1.2273186961636606,-1.0083683467310325,pure_commitment,36
gptoss,AsAs,0.75,-107.49521981992649,0.0,4,-1.3431044600219206,-1.0083683467310325,heterogeneous_all,36
gptoss,AsBa,0.75,-57.199852763063305,-0.0,4,-0.7194674527167434,-1.0083683467310325,heterogeneous_all,36
gptoss,AsCh,1.0,-78.25391219860624,-0.0,4,-0.9805270967026922,-1.0083683467310325,heterogeneous_all,36
gptoss,AsCm,0.75,-38.847164796798296,-0.0,4,-0.49190344296715277,-1.0083683467310325,heterogeneous_all,36
gptoss,AsCo,0.75,-165.58030577473693,0.0,4,-2.0633300253899525,-1.0083683467310325,heterogeneous_all,36
gptoss,AsDl,1.0,64.9436678402449,-0.0,4,0.7950501680542732,-1.0083683467310325,heterogeneous_all,36
gptoss,AsHa,1.0,-72.43534638319422,0.0,4,-0.9083798357466435,-1.0083683467310325,heterogeneous_all,36
gptoss,AsHr,1.0,-32.627671423015755,-0.0,4,-0.4147848839119039,-1.0083683467310325,heterogeneous_all,36
gptoss,AsNc,1.0,-86.88988133297286,0.0,4,-1.0876087279003983,-1.0083683467310325,heterogeneous_all,36
gptoss,AsPc,1.0,-5.822369256870922,0.0,4,-0.08241275102925062,-1.0083683467310325,heterogeneous_all,36
gptoss,AsPd,1.0,-2.419881655430131,-0.0,4,-0.0402236328395673,-1.0083683467310325,heterogeneous_all,36
gptoss,AsSh,0.5,2.910776703579272,0.0,4,0.025873823457360397,-1.0083683467310325,heterogeneous_all,36
gptoss,BaAs,0.75,-166.7843339913116,0.0,4,-2.0782593637691056,-1.0083683467310325,heterogeneous_all,36
gptoss,BaBa,0.25,-61.0599700479265,0.0,4,-0.767330946558182,-1.0083683467310325,heterogeneous_all,36
gptoss,BaCh,0.75,28.769502712668082,0.0,4,0.3465088927431728,-1.0083683467310325,heterogeneous_all,36
