layer,condition,cb_id,final_score_canonical,final_score_trait,ap_score_canonical,ap_score_trait,n_ap,cp_score_trait,model,game_code,delta1c
79,baseline,0,-0.9375,,-0.6666666666666666,,3,,qwen,AsCh,-0.0
79,baseline,1,-0.75,,-0.3854166666666667,,3,,qwen,AsCh,-0.0
79,baseline,2,0.75,,0.46875,,3,,qwen,AsCh,-0.0
79,baseline,3,1.5625,,0.96875,,3,,qwen,AsCh,-0.0
79,cue_inequity_aversion,0,-0.125,,0.3020833333333333,,3,,qwen,AsCh,-0.0
79,cue_inequity_aversion,1,-0.9375,,0.03125,,3,,qwen,AsCh,-0.0
79,cue_inequity_aversion,2,2.75,,1.34375,,3,,qwen,AsCh,-0.0
79,cue_inequity_aversion,3,3.25,,1.5,,3,,qwen,AsCh,-0.0
79,cue_length_match_null,0,-0.875,,-0.6979166666666666,,3,,qwen,AsCh,-0.0
79,cue_length_match_null,1,-1.0,,-0.3385416666666667,,3,,qwen,AsCh,-0.0
79,cue_length_match_null,2,1.0625,,0.6458333333333334,,3,,qwen,AsCh,-0.0
79,cue_length_match_null,3,1.0625,,0.3854166666666667,,3,,qwen,AsCh,-0.0
79,cue_loss_aversion,0,-2.375,,-0.21875,,3,,qwen,AsCh,-0.0
79,cue_loss_aversion,1,-2.5,,0.16666666666666666,,3,,qwen,AsCh,-0.0
79,cue_loss_aversion,2,3.3125,,0.8333333333333334,,3,,qwen,AsCh,-0.0
79,cue_loss_aversion,3,3.375,,0.6875,,3,,qwen,AsCh,-0.0
79,cue_maximin,0,-2.8125,,-1.1666666666666667,,3,,qwen,AsCh,-0.0
79,cue_maximin,1,-2.875,,-1.2083333333333333,,3,,qwen,AsCh,-0.0
79,cue_maximin,2,3.4375,,1.7395833333333333,,3,,qwen,AsCh,-0.0
79,cue_maximin,3,3.3125,,1.5208333333333333,,3,,qwen,AsCh,-0.0
79,cue_risk_aversion,0,-2.8125,,-1.4114583333333333,,3,,qwen,AsCh,-0.0
79,cue_risk_aversion,1,-2.5,,-1.2916666666666667,,3,,qwen,AsCh,-0.0
79,cue_risk_aversion,2,3.5625,,2.4947916666666665,,3,,qwen,AsCh,-0.0
79,cue_risk_aversion,3,3.8125,,2.2708333333333335,,3,,qwen,AsCh,-0.0
79,cue_selfish_maximizer,0,-2.5625,,-2.1458333333333335,,3,,qwen,AsCh,-0.0
79,cue_selfish_maximizer,1,-2.75,,-2.1770833333333335,,3,,qwen,AsCh,-0.0
79,cue_selfish_maximizer,2,1.8125,,1.8333333333333333,,3,,qwen,AsCh,-0.0
79,cue_selfish_maximizer,3,2.0,,1.78125,,3,,qwen,AsCh,-0.0
40,baseline,0,2.171875,,0.9088541666666666,,3,,qwen,AsCm,-0.0
40,baseline,1,2.609375,,1.3333333333333333,,3,,qwen,AsCm,-0.0
40,baseline,2,-2.328125,,-0.7447916666666666,,3,,qwen,AsCm,-0.0
40,baseline,3,-2.625,,-0.8854166666666666,,3,,qwen,AsCm,-0.0
40,cue_inequity_aversion,0,1.5,,1.2708333333333333,,3,,qwen,AsCm,-0.0
40,cue_inequity_aversion,1,1.609375,,1.3776041666666667,,3,,qwen,AsCm,-0.0
40,cue_inequity_aversion,2,-1.375,,-1.1536458333333333,,3,,qwen,AsCm,-0.0
40,cue_inequity_aversion,3,-1.671875,,-1.359375,,3,,qwen,AsCm,-0.0
40,cue_length_match_null,0,1.71875,,1.3125,,3,,qwen,AsCm,-0.0
40,cue_length_match_null,1,1.9453125,,1.3776041666666667,,3,,qwen,AsCm,-0.0
40,cue_length_match_null,2,-1.59375,,-1.0729166666666667,,3,,qwen,AsCm,-0.0
40,cue_length_match_null,3,-1.8203125,,-1.2890625,,3,,qwen,AsCm,-0.0
40,cue_loss_aversion,0,0.7109375,,0.9114583333333334,,3,,qwen,AsCm,-0.0
40,cue_loss_aversion,1,1.34375,,1.3098958333333333,,3,,qwen,AsCm,-0.0
40,cue_loss_aversion,2,-1.203125,,-0.9817708333333334,,3,,qwen,AsCm,-0.0
40,cue_loss_aversion,3,-1.46875,,-1.375,,3,,qwen,AsCm,-0.0
40,cue_maximin,0,2.078125,,2.2135416666666665,,3,,qwen,AsCm,-0.0
40,cue_maximin,1,2.21875,,2.1953125,,3,,qwen,AsCm,-0.0
40,cue_maximin,2,-1.828125,,-1.8359375,,3,,qwen,AsCm,-0.0
40,cue_maximin,3,-2.53125,,-2.1119791666666665,,3,,qwen,AsCm,-0.0
40,cue_risk_aversion,0,1.375,,1.5026041666666667,,3,,qwen,AsCm,-0.0
40,cue_risk_aversion,1,1.3515625,,1.6822916666666667,,3,,qwen,AsCm,-0.0
40,cue_risk_aversion,2,-1.328125,,-1.4557291666666667,,3,,qwen,AsCm,-0.0
40,cue_risk_aversion,3,-1.609375,,-1.5390625,,3,,qwen,AsCm,-0.0
40,cue_selfish_maximizer,0,1.671875,,1.4375,,3,,qwen,AsCm,-0.0
40,cue_selfish_maximizer,1,1.828125,,1.671875,,3,,qwen,AsCm,-0.0
40,cue_selfish_maximizer,2,-1.7890625,,-1.8229166666666667,,3,,qwen,AsCm,-0.0
